LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,16.0,11.0,10.0,10.0,13.0,13.0,12.0,10.0,8.0,8.0,24.0
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,28.0,15.0,12.0,8.0,14.0,14.0,9.0,13.0,14.0,8.0,15.0
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,27.0,17.0,15.0,23.0,17.0,19.0,11.0,17.0,16.0,4.0,20.0
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,11.0,10.0,11.0,14.0,13.0,11.0,7.0,7.0,13.0,4.0,9.0
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,28.0,11.0,13.0,9.0,6.0,12.0,12.0,6.0,14.0,16.0,12.0
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,20.0,14.0,11.0,13.0,9.0,9.0,15.0,5.0,12.0,4.0,4.0
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,24.0,17.0,12.0,8.0,14.0,10.0,9.0,19.0,8.0,16.0,10.0
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,16.0,10.0,13.0,9.0,12.0,13.0,8.0,6.0,9.0,6.0,7.0
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,10.0,10.0,17.0,19.0,24.0,16.0,11.0,14.0,12.0,16.0,15.0
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,21.0,12.0,11.0,12.0,13.0,23.0,16.0,10.0,12.0,22.0,15.0
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,10.0,20.0,12.0,13.0,14.0,15.0,11.0,5.0,3.0,10.0,7.0
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,22.0,20.0,28.0,38.0,13.0,47.0,48.0,24.0,26.0,16.0,22.0
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,14.0,12.0,13.0,20.0,7.0,14.0,22.0,7.0,8.0,4.0,15.0
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,9.0,9.0,18.0,9.0,12.0,6.0,14.0,16.0,8.0,18.0,18.0
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,16.0,10.0,9.0,21.0,11.0,18.0,8.0,8.0,8.0,22.0,15.0
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,28.0,14.0,19.0,14.0,24.0,27.0,23.0,23.0,8.0,18.0,17.0
E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,37.0,30.0,28.0,36.0,37.0,57.0,33.0,25.0,44.0,52.0,38.0
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,24.0,11.0,27.0,11.0,18.0,18.0,32.0,12.0,10.0,20.0,11.0
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,6.0,5.0,3.0,7.0,20.0,18.0,17.0,10.0,11.0,22.0,10.0
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,52.0,35.0,28.0,21.0,18.0,45.0,22.0,26.0,27.0,18.0,28.0
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,30.0,23.0,14.0,19.0,18.0,23.0,26.0,6.0,10.0,8.0,12.0
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,20.0,12.0,14.0,18.0,10.0,5.0,11.0,2.0,20.0,4.0,14.0
E01000098,Barking and Dagenham 023D,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,20.0,20.0,11.0,13.0,12.0,10.0,24.0,14.0,7.0,12.0,7.0
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,23.0,17.0,8.0,6.0,18.0,12.0,10.0,11.0,5.0,20.0,7.0
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,16.0,13.0,14.0,7.0,10.0,14.0,12.0,8.0,10.0,8.0,9.0
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,13.0,16.0,19.0,11.0,25.0,12.0,19.0,15.0,15.0,8.0,8.0
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,13.0,12.0,9.0,3.0,15.0,18.0,14.0,9.0,13.0,10.0,9.0
E01000103,Barking and Dagenham 014A,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,20.0,23.0,14.0,17.0,6.0,5.0,2.0,9.0,3.0,4.0,7.0
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,22.0,15.0,17.0,23.0,20.0,15.0,13.0,9.0,11.0,16.0,16.0
E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,28.0,21.0,29.0,20.0,24.0,32.0,44.0,23.0,34.0,26.0,18.0
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,30.0,23.0,33.0,27.0,24.0,17.0,24.0,19.0,25.0,14.0,21.0
E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,8.0,5.0,5.0,5.0,11.0,9.0,3.0,3.0,6.0,0.0,3.0
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,18.0,16.0,7.0,9.0,20.0,9.0,8.0,9.0,9.0,22.0,10.0
E01000109,Barking and Dagenham 004D,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,17.0,14.0,5.0,7.0,8.0,18.0,13.0,10.0,16.0,22.0,14.0
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,11.0,5.0,7.0,5.0,6.0,2.0,6.0,4.0,5.0,6.0,8.0
E01000111,Barking and Dagenham 002D,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,14.0,17.0,18.0,25.0,29.0,19.0,17.0,16.0,17.0,16.0,10.0
E01000112,Barking and Dagenham 002E,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,14.0,8.0,14.0,8.0,33.0,19.0,11.0,13.0,15.0,16.0,15.0
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,13.0,11.0,17.0,18.0,16.0,21.0,15.0,26.0,18.0,20.0,10.0
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,25.0,12.0,17.0,15.0,16.0,22.0,12.0,15.0,12.0,24.0,22.0
E01000115,Barnet 009A,E02000032,Barnet 009,E09000003,Barnet,1.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,10.0,2.0
E01000116,Barnet 009B,E02000032,Barnet 009,E09000003,Barnet,14.0,6.0,9.0,4.0,15.0,9.0,5.0,5.0,7.0,8.0,4.0
E01000117,Barnet 010A,E02000033,Barnet 010,E09000003,Barnet,10.0,13.0,12.0,15.0,9.0,12.0,9.0,9.0,10.0,0.0,3.0
E01000118,Barnet 010B,E02000033,Barnet 010,E09000003,Barnet,15.0,6.0,3.0,8.0,6.0,12.0,3.0,6.0,9.0,6.0,5.0
E01000119,Barnet 009C,E02000032,Barnet 009,E09000003,Barnet,11.0,4.0,7.0,4.0,2.0,4.0,3.0,2.0,6.0,2.0,2.0
E01000120,Barnet 009D,E02000032,Barnet 009,E09000003,Barnet,11.0,4.0,4.0,6.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0
E01000121,Barnet 010C,E02000033,Barnet 010,E09000003,Barnet,6.0,9.0,7.0,10.0,15.0,5.0,9.0,11.0,9.0,10.0,5.0
E01000122,Barnet 009E,E02000032,Barnet 009,E09000003,Barnet,4.0,5.0,8.0,5.0,10.0,6.0,2.0,3.0,3.0,2.0,2.0
E01000123,Barnet 010D,E02000033,Barnet 010,E09000003,Barnet,9.0,5.0,7.0,8.0,3.0,6.0,10.0,9.0,5.0,10.0,8.0
E01000124,Barnet 010E,E02000033,Barnet 010,E09000003,Barnet,26.0,18.0,20.0,16.0,11.0,19.0,14.0,19.0,16.0,14.0,15.0
E01000125,Barnet 024A,E02000047,Barnet 024,E09000003,Barnet,44.0,37.0,30.0,36.0,56.0,32.0,34.0,32.0,21.0,22.0,29.0
E01000126,Barnet 026A,E02000049,Barnet 026,E09000003,Barnet,16.0,10.0,8.0,20.0,10.0,15.0,11.0,12.0,8.0,6.0,10.0
E01000127,Barnet 024B,E02000047,Barnet 024,E09000003,Barnet,12.0,9.0,6.0,10.0,10.0,7.0,8.0,9.0,6.0,12.0,6.0
E01000128,Barnet 024C,E02000047,Barnet 024,E09000003,Barnet,15.0,6.0,11.0,10.0,11.0,19.0,17.0,9.0,9.0,12.0,10.0
E01000129,Barnet 024D,E02000047,Barnet 024,E09000003,Barnet,39.0,27.0,29.0,21.0,28.0,25.0,30.0,25.0,25.0,20.0,29.0
E01000130,Barnet 021A,E02000044,Barnet 021,E09000003,Barnet,9.0,12.0,10.0,18.0,17.0,12.0,6.0,10.0,8.0,6.0,8.0
E01000131,Barnet 024E,E02000047,Barnet 024,E09000003,Barnet,9.0,4.0,12.0,9.0,10.0,13.0,7.0,8.0,9.0,2.0,6.0
E01000132,Barnet 021B,E02000044,Barnet 021,E09000003,Barnet,14.0,12.0,9.0,6.0,6.0,4.0,6.0,11.0,11.0,12.0,2.0
E01000133,Barnet 021C,E02000044,Barnet 021,E09000003,Barnet,18.0,4.0,12.0,11.0,6.0,11.0,7.0,9.0,5.0,14.0,8.0
E01000134,Barnet 024F,E02000047,Barnet 024,E09000003,Barnet,5.0,9.0,13.0,13.0,13.0,8.0,4.0,6.0,7.0,6.0,5.0
E01000135,Barnet 038A,E02000061,Barnet 038,E09000003,Barnet,4.0,8.0,7.0,4.0,9.0,2.0,9.0,4.0,7.0,2.0,10.0
E01000136,Barnet 038B,E02000061,Barnet 038,E09000003,Barnet,3.0,4.0,4.0,5.0,2.0,6.0,3.0,2.0,7.0,16.0,3.0
E01000137,Barnet 041A,E02000064,Barnet 041,E09000003,Barnet,13.0,14.0,6.0,9.0,24.0,14.0,12.0,8.0,8.0,18.0,12.0
E01000138,Barnet 040A,E02000063,Barnet 040,E09000003,Barnet,6.0,15.0,2.0,10.0,6.0,12.0,4.0,16.0,5.0,10.0,3.0
