LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,CHGIND,LAD22CD,LAD22NM,TotalRes11,TotalRes21,sqkm21
E01003713,Redbridge 034A,E01003713,Redbridge 034A,U,E09000026,Redbridge,1744,1884,0.14763
E01003714,Redbridge 034B,E01003714,Redbridge 034B,U,E09000026,Redbridge,2168,2424,0.17784
E01003715,Redbridge 034C,E01003715,Redbridge 034C,U,E09000026,Redbridge,1988,2216,0.15585
E01003611,Newham 037C,E01003611,Newham 041C,U,E09000025,Newham,1803,1961,0.14994
E01003716,Redbridge 034D,E01003716,Redbridge 034D,U,E09000026,Redbridge,1712,1819,0.34742
E01003718,Redbridge 034E,E01003718,Redbridge 034E,U,E09000026,Redbridge,1847,2003,0.14271
E01003615,Newham 013C,E01003615,Newham 039A,U,E09000025,Newham,1835,1703,0.108
E01003757,Redbridge 020D,E01003757,Redbridge 020D,U,E09000026,Redbridge,1996,2141,0.22749
E01003719,Redbridge 034F,E01003719,Redbridge 034F,U,E09000026,Redbridge,1958,2404,0.3849
E01003357,Merton 012A,E01003357,Merton 012A,U,E09000024,Merton,1742,1867,0.33154
E01003616,Newham 012A,E01003616,Newham 012A,U,E09000025,Newham,1650,1846,0.14555
E01003759,Redbridge 009A,E01003759,Redbridge 009A,U,E09000026,Redbridge,1459,1586,0.22637
E01003631,Newham 020A,E01003631,Newham 020A,U,E09000025,Newham,1832,1866,0.16562
E01003424,Merton 015B,E01003424,Merton 015B,U,E09000024,Merton,1533,1533,0.29792
E01003720,Redbridge 002A,E01003720,Redbridge 002A,U,E09000026,Redbridge,1777,1922,0.52717
E01003358,Merton 009C,E01003358,Merton 009C,U,E09000024,Merton,1823,1792,0.15329
E01003618,Newham 012C,E01003618,Newham 012C,U,E09000025,Newham,2193,2269,0.16047
E01003458,Merton 006D,E01003458,Merton 006D,U,E09000024,Merton,1601,1757,0.13681
E01003760,Redbridge 009B,E01003760,Redbridge 009B,U,E09000026,Redbridge,1783,1895,0.30427
E01003632,Newham 020B,E01003632,Newham 020B,U,E09000025,Newham,2268,2425,0.13692
E01003425,Merton 015C,E01003425,Merton 015C,U,E09000024,Merton,1440,1488,0.27101
E01003500,Newham 027C,E01003500,Newham 027C,U,E09000025,Newham,2043,2049,0.73383
E01003721,Redbridge 003A,E01003721,Redbridge 003A,U,E09000026,Redbridge,1659,1895,0.1828
E01003722,Redbridge 002B,E01003722,Redbridge 002B,U,E09000026,Redbridge,1772,2418,0.27601
E01003723,Redbridge 002C,E01003723,Redbridge 002C,U,E09000026,Redbridge,1742,1915,0.29135
E01003724,Redbridge 003B,E01003724,Redbridge 003B,U,E09000026,Redbridge,1381,1483,0.20882
E01003737,Redbridge 031A,E01003737,Redbridge 031A,U,E09000026,Redbridge,1793,2973,0.35463
E01003523,Newham 024A,E01003523,Newham 024A,U,E09000025,Newham,2043,2464,0.20548
E01003466,Merton 020A,E01003466,Merton 020A,U,E09000024,Merton,1592,1711,0.23707
E01003738,Redbridge 031B,E01003738,Redbridge 031B,U,E09000026,Redbridge,2108,2378,0.23225
E01003739,Redbridge 031C,E01003739,Redbridge 031C,U,E09000026,Redbridge,2121,2395,0.28767
E01003740,Redbridge 031D,E01003740,Redbridge 031D,U,E09000026,Redbridge,2055,2222,0.45284
E01003741,Redbridge 031E,E01003741,Redbridge 031E,U,E09000026,Redbridge,1737,2047,0.2387
E01003742,Redbridge 031F,E01003742,Redbridge 031F,U,E09000026,Redbridge,2085,2374,0.14355
E01003743,Redbridge 031G,E01003743,Redbridge 031G,U,E09000026,Redbridge,1773,1902,0.17394
E01003744,Redbridge 001A,E01003744,Redbridge 001A,U,E09000026,Redbridge,1337,1453,0.66447
E01003745,Redbridge 001B,E01003745,Redbridge 001B,U,E09000026,Redbridge,1435,1412,0.48843
E01003746,Redbridge 001C,E01003746,Redbridge 001C,U,E09000026,Redbridge,1486,1618,0.64065
E01003747,Redbridge 001D,E01003747,Redbridge 001D,U,E09000026,Redbridge,1343,1361,0.29829
E01003748,Redbridge 001E,E01003748,Redbridge 001E,U,E09000026,Redbridge,1545,1636,0.40511
E01003749,Redbridge 001F,E01003749,Redbridge 001F,U,E09000026,Redbridge,1605,1765,0.20458
E01003750,Redbridge 001G,E01003750,Redbridge 001G,U,E09000026,Redbridge,1671,1913,0.37306
E01003751,Redbridge 020A,E01003751,Redbridge 020A,U,E09000026,Redbridge,1954,2274,0.59717
E01003752,Redbridge 023A,E01003752,Redbridge 023A,U,E09000026,Redbridge,2492,2772,0.22509
E01003753,Redbridge 020B,E01003753,Redbridge 020B,U,E09000026,Redbridge,1976,1987,0.17386
E01003754,Redbridge 020C,E01003754,Redbridge 020C,U,E09000026,Redbridge,1636,1721,0.16637
E01003755,Redbridge 023B,E01003755,Redbridge 023B,U,E09000026,Redbridge,2002,2413,0.21796
E01003756,Redbridge 023C,E01003756,Redbridge 023C,U,E09000026,Redbridge,2123,2496,0.25347
E01003426,Merton 015D,E01003426,Merton 015D,U,E09000024,Merton,1749,1756,0.39355
E01003427,Merton 023A,E01003427,Merton 023A,U,E09000024,Merton,1758,1976,0.34553
E01003428,Merton 015E,E01003428,Merton 015E,U,E09000024,Merton,1457,1515,0.30201
E01003429,Merton 019A,E01003429,Merton 019A,U,E09000024,Merton,1456,1630,0.15301
E01003430,Merton 019B,E01003430,Merton 019B,U,E09000024,Merton,1443,1675,0.12179
E01003431,Merton 019C,E01003431,Merton 019C,U,E09000024,Merton,1506,1702,0.12608
E01003432,Merton 019D,E01003432,Merton 019D,U,E09000024,Merton,1556,1705,0.48576
E01003433,Merton 019E,E01003433,Merton 019E,U,E09000024,Merton,1525,1595,0.27317
E01003434,Merton 017E,E01003434,Merton 017E,U,E09000024,Merton,1489,1545,0.17757
