MSOA21CD,PM10d-2019-min,PM10d-2019-max,PM10d-2019-mean,PM10d-2019-std,PM10d-2019-median
E02000381,5.489,100.039,6.702,4.784,6.029
E02000382,6.251,132.314,12.076,14.629,8.433
E02000383,5.479,127.452,8.725,9.939,6.281
E02000384,5.706,176.458,13.729,18.827,7.956
E02000385,4.978,149.625,9.78,17.715,5.798
E02000386,5.114,90.971,6.522,4.547,5.846
E02000387,4.988,147.88,6.238,6.537,5.317
E02000388,5.261,109.4,6.703,3.738,6.283
E02000389,4.223,85.085,5.64,6.495,4.741
E02000390,4.74,13.747,5.473,1.09,5.211
E02000391,4.729,64.718,6.918,4.521,6.19
E02000392,4.68,61.209,5.733,2.879,5.146
E02000393,4.675,29.766,5.485,2.369,4.93
E02000394,4.772,21.668,5.331,0.888,5.161
E02000395,4.186,94.149,5.056,3.478,4.474
E02000396,4.418,52.296,5.681,3.364,4.907
E02000397,3.555,25.833,4.039,1.182,3.843
E02000398,3.554,32.074,4.153,1.558,3.882
E02000400,3.338,90.462,4.403,2.851,3.819
E02000401,3.491,93.33,4.837,4.081,4.041
E02000402,3.53,26.099,4.282,1.542,3.95
E02000403,3.5,48.98,4.588,2.595,4.043
E02000404,3.654,19.973,4.312,1.365,3.989
E02000405,3.336,12.588,3.827,0.599,3.719
E02000406,3.915,16.996,4.41,1.025,4.151
E02000407,3.938,135.58,5.507,7.853,4.239
E02000408,3.864,99.064,5.645,7.013,4.344
E02000409,3.849,26.718,4.444,1.341,4.146
E02000410,3.452,32.785,4.365,2.409,3.84
E02000411,3.743,82.441,4.915,3.411,4.114
E02000412,3.907,174.197,6.282,11.227,4.402
E02000413,3.383,8.769,3.736,0.44,3.681
E02000414,3.91,11.166,4.359,0.721,4.193
E02000415,3.927,49.922,4.887,2.507,4.416
E02000416,3.795,58.032,4.765,2.236,4.323
E02000417,3.656,39.969,4.346,2.04,3.892
E02000418,3.767,23.416,4.512,1.566,4.168
E02000419,4.269,75.992,5.791,4.365,4.673
E02000420,4.207,111.948,5.832,6.652,4.556
E02000421,3.897,140.639,6.874,8.336,4.961
E02000422,4.446,39.497,5.562,2.799,4.939
E02000423,4.624,30.686,5.6,2.481,4.999
E02000424,4.179,16.258,4.558,0.888,4.362
E02000425,3.811,70.126,5.011,3.808,4.352
E02000426,3.696,36.756,4.576,2.274,4.001
E02000427,4.283,68.683,5.431,2.756,4.86
E02000428,4.574,45.194,5.582,3.176,4.938
E02000429,3.781,35.253,4.447,1.344,4.205
E02000430,4.218,36.357,5.023,2.288,4.492
E02000431,4.215,37.973,5.4,2.834,4.673
E02000432,4.325,17.581,4.898,0.896,4.678
E02006794,3.599,25.422,4.463,2.136,3.97
