MSOA21CD,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median
E02000585,47.581,389.359,58.097,27.239,51.534
E02000586,50.74,467.213,58.777,26.261,54.144
E02000587,48.147,368.698,59.274,29.719,52.34
E02000588,54.2,540.059,67.515,41.034,57.853
E02000589,50.715,488.061,65.619,50.517,52.59
E02000590,53.185,425.148,66.463,33.509,57.013
E02000591,50.008,506.814,72.566,46.669,53.5
E02000592,51.169,423.028,65.233,38.13,55.395
E02000593,47.377,351.689,60.654,30.826,50.898
E02000594,52.038,335.773,62.722,24.494,54.984
E02000595,51.277,308.104,60.033,21.704,53.787
E02000596,47.339,382.901,57.238,25.276,51.486
E02000597,46.264,296.147,63.146,32.578,51.517
E02000598,32.211,103.157,36.467,5.833,35.305
E02000599,33.441,214.148,39.126,10.764,35.752
E02000600,33.88,119.636,40.188,8.35,38.04
E02000601,32.763,108.21,37.521,6.823,35.954
E02000602,34.925,270.286,44.965,17.825,39.803
E02000603,33.789,120.977,38.579,7.203,36.904
E02000604,34.153,222.423,37.908,8.622,36.014
E02000605,32.309,125.787,36.091,5.444,35.113
E02000606,31.6,254.823,43.186,16.963,37.954
E02000607,32.302,54.124,35.177,1.664,35.019
E02000608,30.681,114.119,37.36,9.068,35.035
E02000609,31.744,246.815,42.573,18.912,36.73
E02000610,30.503,137.809,36.082,8.573,34.264
E02000611,32.082,138.376,36.958,12.441,33.539
E02000612,31.136,229.207,36.686,12.586,33.807
E02000613,30.436,180.688,37.692,12.542,34.332
E02000614,29.181,180.301,38.487,16.291,33.751
E02000615,30.038,226.688,38.145,15.374,33.747
E02000616,26.748,78.555,30.909,3.747,30.475
E02000617,24.96,124.19,29.024,6.265,27.15
E02000619,52.62,221.202,59.703,14.266,55.963
E02000620,52.36,306.002,62.875,19.002,57.092
E02000621,47.7,366.475,64.222,26.765,54.979
E02000622,45.416,330.011,57.861,17.575,53.11
E02000623,46.16,163.286,53.561,11.641,50.615
E02000624,46.498,162.101,53.296,11.805,49.885
E02000625,45.707,170.712,52.56,12.8,48.559
E02000626,44.657,98.731,47.518,4.267,46.361
E02000627,44.815,136.351,50.077,8.274,47.965
E02000628,45.465,356.602,55.005,22.355,49.705
E02000629,45.087,147.213,51.097,12.285,47.656
E02000630,44.732,221.56,52.592,13.355,48.563
E02000631,42.098,127.973,46.734,7.162,44.603
E02000632,43.189,348.586,49.556,15.401,46.659
E02000633,43.195,357.448,52.664,19.16,47.718
E02000634,41.791,229.028,52.304,16.119,47.633
E02000635,39.822,151.063,44.895,7.432,43.408
E02000636,41.765,219.163,47.722,13.344,44.391
E02000637,41.028,157.548,46.243,9.616,44.007
E02000638,42.073,153.289,48.243,12.742,44.478
E02000639,41.673,169.94,49.772,14.469,45.139
E02000640,39.826,184.587,44.628,9.274,42.256
E02000641,40.074,198.645,45.669,10.745,43.057
E02000642,38.561,238.929,45.704,11.865,42.56
E02000643,38.996,153.964,46.109,11.756,42.912
E02000644,38.896,119.162,41.837,5.423,40.586
E02000645,37.39,140.378,42.505,8.484,40.27
E02000646,38.664,229.874,46.174,15.088,42.014
E02000647,37.947,89.042,40.672,4.525,39.433
E02000648,36.991,118.615,41.231,7.244,39.19
E02000649,38.479,312.413,47.37,18.653,41.949
E02000650,36.699,110.566,40.293,6.195,38.583
E02000651,36.535,271.547,42.705,14.926,39.042
E02000652,35.732,118.818,39.708,6.529,38.123
E02006801,56.706,472.273,70.553,31.389,62.13
E02000653,43.281,136.239,47.624,7.737,45.962
E02000654,42.552,209.406,48.632,12.864,45.228
E02000655,42.418,246.922,47.33,11.858,44.742
E02000657,40.986,255.306,50.165,17.194,45.471
E02000658,40.953,217.441,49.158,13.93,44.886
E02000659,38.598,215.784,43.878,8.958,41.802
E02000660,39.49,127.219,44.759,7.73,42.728
E02000661,38.827,182.628,45.708,13.239,41.7
E02000662,38.273,140.318,42.97,5.904,41.635
E02000663,38.306,126.657,41.899,6.731,40.461
E02000665,36.393,154.641,41.018,8.795,39.058
E02000666,37.012,107.99,41.378,5.93,39.845
E02000667,36.648,89.959,40.986,5.76,39.55
E02000668,35.993,285.729,41.839,13.503,38.432
E02000669,36.876,134.098,41.815,8.809,39.625
E02000670,36.878,156.607,43.356,11.054,40.23
E02000671,36.657,130.685,41.183,7.471,39.153
E02000672,36.553,273.961,44.154,16.048,39.767
E02000673,37.409,148.728,42.502,9.516,39.752
E02000674,34.754,129.829,38.512,6.66,37.066
E02000675,33.383,289.036,39.491,12.331,36.48
E02000676,37.042,157.605,40.784,7.791,38.824
E02000677,34.844,115.852,38.581,6.773,37.028
E02000678,33.468,158.446,36.057,4.951,34.959
E02000679,35.936,115.856,39.588,5.702,38.019
E02000680,37.1,115.042,42.03,8.665,39.563
E02000681,34.988,144.333,38.439,6.747,36.822
E02000682,33.897,135.942,38.433,8.95,36.515
E02000683,30.894,87.966,35.516,5.862,34.366
