LSOA21CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E01000918,14.809,68.584,21.314,13.527,16.271
E01000919,16.641,68.588,23.137,11.73,18.613
E01000920,13.08,62.651,15.345,8.006,13.582
E01000921,7.871,30.948,10.515,4.336,8.808
E01000922,7.913,37.883,8.659,2.139,8.33
E01000923,7.832,14.279,8.549,1.0,8.249
E01000924,7.802,20.357,8.608,1.876,8.134
E01000925,7.976,14.522,8.691,0.999,8.398
E01000926,8.099,37.107,9.999,3.281,9.009
E01000927,8.255,25.028,9.949,2.6,9.093
E01000928,7.577,39.742,9.081,3.743,8.09
E01000929,9.102,21.639,10.021,1.896,9.484
E01000930,8.932,53.945,11.315,5.125,9.897
E01000931,7.722,42.802,9.752,5.134,8.242
E01000932,7.986,24.284,8.972,2.019,8.503
E01000933,8.386,42.701,10.05,3.494,9.241
E01000934,9.024,36.723,10.209,3.154,9.371
E01000935,8.928,27.193,11.182,3.608,9.941
E01000937,12.142,28.515,13.641,2.604,12.765
E01000938,11.741,66.136,17.265,10.378,12.515
E01000939,11.642,68.384,15.453,10.882,12.042
E01000941,11.618,25.314,13.042,2.503,12.295
E01000942,11.244,68.547,18.518,16.034,11.947
E01000943,11.44,67.961,13.82,7.889,12.103
E01000944,9.644,41.169,12.092,6.695,10.393
E01000946,8.496,68.582,11.981,9.023,9.368
E01000947,9.367,67.169,15.136,8.762,12.254
E01000948,8.984,48.522,11.12,4.878,9.718
E01000949,9.318,35.578,10.075,2.911,9.641
E01000951,9.771,12.443,10.492,0.506,10.395
E01000952,9.852,66.638,12.532,7.327,10.403
E01000954,9.983,68.578,15.841,14.428,10.682
E01000955,10.007,68.579,11.941,8.927,10.411
E01000956,10.229,68.589,16.519,14.857,11.141
E01000957,8.923,27.392,10.048,2.124,9.395
E01000958,8.948,51.706,11.193,3.939,10.019
E01000959,10.214,36.205,12.37,4.187,10.96
E01000960,8.123,65.284,11.472,8.445,8.769
E01000961,8.657,61.726,10.669,4.94,9.374
E01000962,8.119,10.235,8.454,0.339,8.313
E01000963,8.591,62.319,13.515,10.739,9.258
E01000964,8.108,25.087,9.426,2.687,8.458
E01000965,8.253,21.148,9.217,1.772,8.726
E01000966,8.153,9.261,8.515,0.257,8.429
E01000967,8.084,28.603,8.903,1.777,8.477
E01000968,7.922,24.816,9.002,2.112,8.47
E01000969,7.725,67.232,9.509,6.943,8.001
E01000970,7.589,18.085,8.322,1.407,7.932
E01000971,7.375,21.076,8.138,2.188,7.604
E01000972,7.918,68.033,10.599,9.191,8.297
E01000973,7.855,28.846,9.552,2.807,8.613
E01000974,7.563,38.345,9.13,3.12,8.132
E01000975,5.617,30.003,6.838,2.653,6.25
E01000976,6.04,42.285,7.8,3.646,6.801
E01000977,5.021,23.734,6.461,2.692,5.642
E01000978,5.36,21.551,5.818,1.228,5.591
E01000979,5.435,23.314,6.42,2.36,5.867
E01000980,5.375,6.868,5.755,0.29,5.694
E01000981,5.22,8.028,5.699,0.512,5.54
E01000982,5.486,8.065,5.931,0.367,5.864
E01000983,5.24,23.602,5.87,1.772,5.634
E01000984,5.867,20.678,6.6,1.077,6.342
E01000985,4.566,23.5,5.26,1.95,4.848
E01000986,4.737,21.359,5.4,1.694,4.983
E01000987,4.745,21.236,5.362,1.453,5.037
E01000989,4.734,5.44,4.927,0.111,4.901
E01000990,4.812,42.477,6.862,5.297,5.432
E01000991,4.525,5.141,4.689,0.11,4.664
E01000992,4.569,26.22,5.408,2.039,5.043
E01000993,4.95,23.875,5.739,2.245,5.277
E01000994,5.332,6.842,5.472,0.203,5.403
E01000995,5.381,32.772,6.586,3.66,5.641
E01000996,5.345,5.878,5.481,0.11,5.446
E01000997,5.389,12.194,5.794,0.63,5.621
E01000998,5.354,18.697,5.992,1.586,5.652
E01000999,5.445,6.122,5.672,0.143,5.647
E01001000,5.58,25.351,6.242,1.655,5.851
E01001001,5.573,7.862,5.832,0.389,5.713
E01001002,5.658,8.496,5.922,0.458,5.789
E01001003,5.534,11.625,5.884,0.87,5.613
E01001004,5.549,7.826,5.952,0.388,5.838
E01001005,6.051,29.602,7.073,3.21,6.401
E01001006,5.204,38.36,6.129,3.054,5.616
E01001007,5.398,27.154,6.247,1.58,5.921
E01001008,6.021,40.867,7.875,4.399,6.589
E01001009,5.973,20.621,6.477,1.172,6.218
E01001010,4.896,48.978,6.428,2.904,6.024
E01001011,6.222,50.887,8.296,4.739,6.831
E01001012,6.346,16.955,6.969,0.96,6.733
E01001013,6.286,46.32,7.441,3.72,6.588
E01001015,3.499,5.969,3.918,0.401,3.814
E01001016,3.38,6.595,3.688,0.306,3.627
E01001017,3.052,4.908,3.607,0.458,3.45
E01001018,3.206,9.418,3.386,0.495,3.306
E01001019,3.345,6.089,3.593,0.226,3.538
E01001020,3.239,8.2,3.431,0.399,3.347
E01001021,2.904,8.375,3.1,0.284,3.05
E01001022,3.04,7.709,3.239,0.265,3.195
E01001023,3.81,40.471,5.383,4.306,4.249
E01001024,3.609,11.688,4.11,0.934,3.86
E01001025,3.47,11.091,3.698,0.541,3.621
E01001026,3.433,12.091,3.95,1.048,3.711
E01001027,3.17,51.952,4.398,2.978,3.901
E01001028,3.588,13.705,4.068,0.874,3.882
E01001029,3.854,29.291,4.456,1.479,4.186
E01001030,3.851,29.642,4.146,1.193,3.965
E01001031,3.575,11.667,4.008,0.788,3.835
E01001032,3.875,9.104,4.127,0.359,4.068
E01001033,4.442,22.826,4.991,1.664,4.608
E01001034,4.197,8.777,4.62,0.471,4.487
E01001035,4.6,19.843,5.611,1.755,5.171
E01001036,3.94,15.183,4.634,1.139,4.402
E01001037,4.658,39.183,6.51,3.705,5.408
E01001038,4.361,12.637,4.963,0.916,4.758
E01001039,3.994,16.651,4.579,0.947,4.4
E01001040,4.505,18.93,5.227,1.362,4.892
E01001041,4.485,68.588,5.305,4.376,4.693
E01001042,6.317,38.86,8.633,4.261,7.142
E01001044,4.619,21.803,5.491,1.341,5.248
E01001046,4.716,28.008,5.889,2.111,5.371
E01001047,5.169,26.516,6.71,2.713,5.929
E01001049,4.193,20.779,4.629,0.863,4.478
E01001050,5.06,43.975,6.755,3.768,5.763
E01001051,3.758,4.615,3.907,0.127,3.87
E01001052,3.817,4.477,3.922,0.107,3.895
E01001053,3.608,9.296,3.853,0.461,3.744
E01001054,3.754,37.186,4.701,3.237,4.015
E01001055,3.602,4.485,3.841,0.136,3.81
E01001056,3.663,7.982,4.029,0.604,3.862
E01001057,3.647,10.419,4.041,0.708,3.839
E01001058,3.494,4.108,3.696,0.119,3.681
E01001059,3.541,4.764,3.785,0.153,3.747
E01001060,3.121,4.017,3.401,0.123,3.39
E01001061,3.718,16.06,4.027,1.096,3.806
E01001062,4.137,29.416,4.776,1.17,4.539
E01001063,4.17,26.587,5.182,2.249,4.701
E01001064,3.734,22.318,4.174,0.915,3.999
E01001065,3.514,42.161,4.572,3.011,3.917
E01001066,3.776,15.135,4.054,0.965,3.865
E01001067,3.584,7.561,3.895,0.402,3.818
E01001068,3.312,18.233,3.755,1.152,3.563
E01001069,3.521,5.644,3.743,0.206,3.706
E01001070,3.401,7.65,3.695,0.498,3.565
E01001071,3.164,16.989,3.543,1.003,3.39
E01001072,3.146,7.37,3.345,0.3,3.288
E01001073,3.823,31.566,4.526,2.154,4.205
E01001074,3.768,42.404,5.025,3.432,4.18
E01001075,3.545,20.944,4.273,1.837,3.841
E01001076,3.279,6.925,3.574,0.403,3.497
E01001077,3.519,5.001,3.661,0.168,3.612
E01001078,3.352,5.159,3.574,0.219,3.509
E01001079,3.271,6.964,3.562,0.407,3.456
E01001080,3.277,6.794,3.594,0.468,3.479
E01001081,3.081,6.772,3.302,0.314,3.256
E01001082,3.381,6.797,3.613,0.239,3.56
E01001083,5.399,19.453,6.126,1.586,5.748
E01001084,5.533,36.458,6.155,1.942,5.786
E01001085,5.592,24.393,6.617,2.824,5.904
E01001086,5.364,6.042,5.519,0.12,5.494
E01001087,5.373,44.714,6.215,3.144,5.645
E01001088,5.32,9.093,5.672,0.428,5.592
E01001089,5.565,50.394,6.302,3.23,5.698
E01001090,5.416,41.265,6.402,3.318,5.693
E01001091,5.302,19.481,5.637,1.317,5.41
E01001092,4.15,42.146,5.022,2.584,4.448
E01001093,4.351,43.137,5.189,2.69,4.635
E01001094,3.836,32.943,4.189,1.024,4.038
E01001095,4.383,21.211,5.573,2.518,4.845
E01001096,3.974,15.443,4.577,1.168,4.36
E01001097,4.154,52.5,6.849,5.647,5.044
E01001098,3.857,11.475,4.399,0.739,4.222
E01001099,3.834,21.859,4.841,2.076,4.266
E01001100,4.25,7.547,4.528,0.282,4.487
E01001101,3.574,8.446,3.795,0.345,3.724
E01001102,3.575,18.005,4.256,1.524,3.835
E01001103,3.34,17.139,3.693,1.029,3.545
E01001104,3.306,9.127,3.64,0.431,3.552
E01001105,3.238,15.949,3.437,0.615,3.345
E01001106,3.226,16.544,3.582,1.237,3.367
E01001107,3.735,9.283,4.092,0.387,4.024
E01001108,3.706,8.337,3.974,0.464,3.868
