LSOA11CD,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median
E01001455,42.506,150.039,51.447,15.749,47.303
E01001456,42.178,138.088,47.577,10.278,45.092
E01001457,39.565,188.031,50.032,18.363,44.076
E01001458,50.36,260.764,77.465,38.839,63.371
E01001459,46.171,177.52,55.064,16.062,50.578
E01001460,46.652,116.875,51.877,6.486,50.06
E01001461,45.693,334.472,59.606,25.791,51.24
E01001462,46.528,76.241,49.563,3.339,48.732
E01001463,45.71,153.157,54.548,16.375,50.314
E01001464,45.559,63.818,48.557,2.919,47.95
E01001465,49.739,273.201,70.415,34.243,56.93
E01001466,47.885,80.361,52.361,3.735,51.281
E01001467,48.655,105.117,52.971,5.345,52.119
E01001468,33.074,105.839,37.928,7.034,36.052
E01001469,38.969,112.343,44.624,8.45,42.05
E01001470,33.462,131.11,37.179,8.064,34.807
E01001471,34.562,101.853,41.157,8.259,39.977
E01001472,39.259,75.971,42.623,3.657,41.804
E01001473,36.755,114.555,39.733,5.619,38.522
E01001474,37.095,156.4,45.731,13.018,42.439
E01001475,38.854,116.403,42.289,6.097,41.212
E01001476,41.885,146.104,50.734,14.121,46.65
E01001477,37.832,253.154,43.84,13.607,40.055
E01001478,41.364,150.213,48.55,13.248,45.55
E01001479,41.388,132.217,48.85,13.075,45.361
E01001480,46.32,392.489,64.859,33.326,52.836
E01001481,43.596,74.347,47.324,4.123,46.498
E01001482,43.534,137.317,47.58,8.567,45.771
E01001483,37.826,215.851,43.858,13.464,40.682
E01001484,41.276,177.165,47.066,15.293,43.798
E01001485,48.437,178.541,60.224,19.998,54.235
E01001486,47.647,150.867,53.494,7.49,51.936
E01001487,45.753,138.245,53.372,10.888,50.639
E01001488,46.301,58.252,49.152,1.956,48.742
E01001489,45.05,78.735,48.756,4.89,47.449
E01001491,47.017,166.44,54.722,14.788,50.314
E01001492,49.938,81.131,52.967,4.348,52.198
E01001493,44.556,125.14,50.673,10.466,48.164
E01001494,44.656,106.428,51.181,8.63,48.863
E01001495,47.321,155.823,57.131,16.492,51.407
E01001496,45.503,103.836,51.001,7.952,49.25
E01001497,45.731,159.54,55.226,15.816,51.129
E01001498,47.21,161.062,58.555,18.945,52.042
E01001499,49.169,245.687,71.259,36.089,57.065
E01001500,47.393,233.932,62.565,30.89,53.234
E01001501,48.835,309.407,65.382,32.804,55.775
E01001502,41.804,139.389,47.14,11.174,44.773
E01001503,41.974,128.28,46.429,9.719,44.534
E01001504,40.149,141.333,47.071,14.08,43.513
E01001505,40.985,270.073,55.56,30.158,47.124
E01001506,35.239,214.961,42.379,12.682,38.592
E01001507,42.207,223.4,55.875,23.475,48.581
E01001508,42.117,149.304,46.43,9.858,44.788
E01001509,42.59,142.718,50.334,15.494,45.749
E01001510,42.446,183.095,54.1,23.41,46.331
E01001511,41.131,256.789,57.056,29.206,47.976
E01001512,41.229,170.209,49.908,16.437,45.606
E01001513,38.697,447.068,49.724,24.171,42.645
E01001514,41.377,49.055,44.65,1.533,44.658
E01001515,43.96,172.535,51.992,17.987,47.368
E01001516,40.332,375.741,57.576,31.056,46.722
E01001517,39.571,212.071,50.275,20.664,44.536
E01001518,37.604,191.509,47.269,18.178,42.217
E01001519,41.631,169.64,57.028,21.108,49.094
E01001520,40.297,139.4,47.867,12.809,44.834
E01001521,41.573,176.371,48.951,11.382,45.77
E01001522,39.291,57.556,42.018,1.873,41.719
E01001523,38.116,129.102,42.781,8.79,40.072
E01001524,39.642,83.704,44.365,6.105,42.677
E01001525,41.158,74.985,43.923,4.028,42.938
E01001526,39.086,145.182,46.072,11.411,43.835
E01001527,44.89,359.425,58.707,30.573,51.223
E01001528,50.298,404.509,74.242,48.15,58.675
E01001529,49.665,162.503,62.273,19.919,54.152
E01001530,50.464,402.96,80.217,52.113,62.401
E01001531,44.369,91.778,48.498,5.916,47.002
E01001532,44.813,152.221,51.025,11.98,47.75
E01001533,43.655,129.561,47.816,7.551,46.502
E01001534,43.588,140.526,51.455,12.533,47.593
