MSOA21CD,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median
E02000426,31.994,91.153,35.481,5.643,33.628
E02000427,33.81,97.317,38.788,6.578,36.825
E02000428,35.193,95.843,39.119,7.145,36.97
E02000429,32.276,74.567,35.248,3.836,34.291
E02000430,34.033,85.348,37.809,6.684,35.544
E02000431,33.856,95.485,38.877,7.723,36.5
E02000432,34.056,73.747,37.859,4.036,36.954
E02006794,31.705,95.896,36.104,7.449,34.002
E02000433,25.699,80.492,28.809,4.879,27.608
E02000434,27.809,81.69,30.2,3.363,29.42
E02000435,26.213,62.834,28.637,3.056,28.022
E02000436,24.744,62.13,27.012,3.108,26.243
E02000437,26.623,73.868,29.984,4.358,28.829
E02000438,25.999,62.016,29.935,4.748,28.501
E02000439,28.928,74.207,31.789,4.753,30.573
E02000440,27.579,64.685,30.344,3.8,29.381
E02000441,24.458,62.303,26.663,3.153,26.089
E02000442,28.844,57.987,31.459,3.414,30.552
E02000443,27.827,57.057,30.487,3.497,29.366
E02000444,28.588,70.512,31.352,4.47,29.965
E02000445,27.825,92.192,31.676,5.749,29.66
E02000447,25.897,54.83,28.577,3.042,27.915
E02000448,26.19,54.398,28.247,2.778,27.494
E02000449,29.694,77.938,32.701,5.111,31.265
E02000451,26.124,58.141,28.818,3.167,28.271
E02000452,28.458,79.845,31.392,4.976,29.883
E02000453,28.124,74.797,30.422,3.845,29.398
E02000454,26.347,45.783,28.113,1.956,27.665
E02000455,29.212,90.29,34.149,6.616,31.965
E02000456,28.292,72.429,30.844,3.87,29.892
E02000457,27.421,63.128,29.979,2.95,29.277
E02000459,28.747,60.505,31.262,3.618,30.238
E02000460,28.102,58.512,30.481,3.753,29.517
E02000461,28.614,75.332,31.282,4.478,29.967
E02000462,28.898,61.696,31.601,4.012,30.425
E02000463,28.537,55.387,30.644,2.933,29.955
E02006795,27.148,59.196,29.572,2.595,29.142
E02006882,28.367,100.933,31.085,3.92,30.201
E02000464,21.603,96.192,24.688,7.881,22.573
E02000465,21.869,107.839,26.086,8.331,24.009
E02000466,21.621,47.27,23.149,1.713,22.603
E02000467,23.364,53.571,25.844,2.884,25.177
E02000468,22.139,58.161,23.826,2.315,23.03
E02000469,23.219,84.103,26.218,5.07,24.944
E02000470,21.838,108.22,25.118,6.535,23.115
E02000471,23.412,75.884,26.535,4.231,25.779
E02000472,24.693,98.642,27.638,5.16,26.337
E02000473,22.372,84.447,26.962,5.184,25.736
E02000474,24.643,81.849,27.966,5.844,26.584
E02000475,24.362,82.483,27.158,4.417,26.112
E02000476,25.299,109.891,32.362,8.895,29.735
E02000477,24.629,64.219,26.787,2.64,26.196
E02000478,22.377,54.433,24.276,1.475,24.267
E02000479,25.593,106.32,30.926,7.564,28.38
E02000480,25.961,80.409,28.861,4.789,27.522
E02000481,19.153,93.283,23.963,7.731,22.324
E02000482,22.31,55.871,23.866,2.603,23.245
E02000483,23.822,56.847,25.993,2.912,25.298
E02000484,24.525,57.981,27.138,3.42,26.468
E02000485,22.506,76.605,24.792,2.974,24.335
E02000486,24.524,47.243,26.045,2.128,25.568
E02000487,21.648,85.593,23.739,4.016,23.075
E02000488,23.735,44.997,25.674,2.343,25.291
E02000489,23.962,58.845,27.102,3.323,26.822
E02000490,24.437,67.387,27.154,3.112,26.84
E02000491,25.072,80.293,29.822,5.521,28.273
E02000492,23.354,91.698,26.412,4.83,25.339
E02000493,24.877,99.846,28.767,5.566,27.558
E02000494,22.915,79.15,24.974,3.056,24.34
E02000495,24.259,62.525,26.841,3.589,26.024
E02000496,21.943,53.894,23.497,1.769,23.059
E02000497,24.436,63.41,27.103,2.73,26.716
E02000498,23.542,79.44,26.144,3.477,25.584
E02000499,26.36,48.878,28.307,2.227,27.804
E02000500,24.452,78.947,27.914,4.164,27.143
E02000501,26.753,50.493,28.334,1.724,28.062
E02000502,25.59,75.884,28.604,4.194,27.47
E02000503,27.093,53.495,29.604,2.869,28.955
E02000504,24.93,81.645,28.19,4.734,27.169
E02000506,23.681,116.084,29.02,7.873,27.596
E02000507,26.911,78.966,30.384,6.62,28.615
E02000508,26.211,79.752,30.906,5.353,29.538
E02000509,25.565,79.226,29.624,5.61,28.035
E02000510,27.319,75.847,30.792,4.819,29.546
E02000511,27.136,60.182,28.766,1.976,28.434
E02000512,27.315,60.895,29.929,3.586,29.239
E02000513,28.188,70.733,30.838,3.952,29.969
E02000514,28.268,70.486,30.836,3.563,30.136
E02000515,26.178,88.454,29.029,4.169,28.156
E02000516,29.521,81.545,32.058,5.016,30.75
E02000517,28.564,65.579,30.929,3.649,30.053
E02000518,28.023,79.717,30.668,4.045,29.685
E02000519,29.483,85.945,33.643,6.29,31.763
E02000520,28.62,109.146,32.822,6.105,31.307
E02000521,29.988,122.226,33.838,7.14,31.865
E02000522,28.745,96.618,33.492,5.753,31.984
E02000523,31.423,94.52,36.796,7.09,34.575
E02000524,28.169,643.046,39.5,10.412,37.8
E02000525,31.234,124.849,37.059,8.843,34.278
E02006796,26.868,82.299,30.604,5.784,29.115
E02000526,35.375,164.561,43.664,14.139,38.756
E02000529,31.478,94.241,36.32,7.497,33.827
E02000530,31.337,118.173,37.222,9.402,34.006
E02000531,31.12,138.311,37.617,9.495,34.974
E02000532,32.526,125.659,37.622,8.709,35.45
E02000533,33.08,122.774,39.266,9.375,36.388
E02000534,30.449,101.908,34.957,7.122,32.988
E02000535,30.946,91.137,35.501,7.47,33.176
E02000536,30.908,93.155,35.203,6.909,33.201
E02000537,30.434,83.609,33.849,5.653,32.713
E02000538,30.372,101.378,35.517,7.213,33.518
E02000539,32.274,101.637,35.939,5.143,34.53
E02000540,31.904,88.62,35.447,5.23,34.159
E02000541,30.675,75.59,34.631,5.795,32.892
E02000542,31.311,86.23,35.751,6.166,33.708
E02000543,31.501,92.662,35.48,6.314,33.563
E02000544,31.453,52.224,33.699,1.887,33.395
E02000545,31.627,74.628,35.349,3.762,34.504
E02000546,29.0,61.831,31.206,3.085,30.344
E02000547,29.828,87.159,34.161,5.392,32.528
E02000548,27.838,86.467,31.817,4.447,30.739
E02000549,28.721,83.071,32.181,5.232,30.788
E02000550,29.266,70.68,31.246,2.979,30.625
E02000551,28.326,79.743,32.169,6.192,30.323
E02000552,27.122,64.691,29.392,2.911,28.708
E02000553,27.434,94.988,31.104,5.601,29.562
E02006792,34.417,131.534,42.013,11.106,38.441
E02006972,33.401,113.008,39.73,10.808,36.265
E02006973,32.13,110.417,39.434,9.997,36.871
E02000554,34.313,72.546,38.696,5.398,37.017
E02000555,34.349,97.168,39.407,7.363,36.952
E02000556,35.47,90.101,38.986,5.442,37.55
E02000557,36.386,109.954,43.088,9.676,39.539
E02000558,35.93,117.556,42.505,10.365,39.296
E02000559,36.438,113.581,40.667,7.399,38.33
E02000560,36.856,125.539,44.545,9.727,41.168
E02000561,35.851,91.201,38.127,4.447,36.987
E02000562,36.453,68.822,39.703,4.971,38.006
E02000563,36.118,116.01,41.144,7.802,38.762
E02000564,37.049,100.905,42.757,8.114,40.014
E02000565,36.717,85.903,41.731,5.687,39.823
E02000566,36.759,105.687,41.351,7.413,39.216
E02000567,37.772,111.447,43.217,7.662,40.569
E02000568,37.942,86.907,42.539,6.167,40.668
E02000569,38.484,94.212,44.897,8.943,41.751
E02000570,38.056,76.375,41.511,3.946,40.445
E02000571,39.089,100.527,43.324,7.755,40.827
E02000572,40.442,104.797,46.022,7.648,43.75
E02000573,39.376,131.957,47.522,12.612,43.467
E02000574,41.571,140.596,50.898,12.224,46.417
E02000575,42.381,129.518,51.28,11.247,46.756
E02000576,41.884,121.027,48.99,11.483,44.847
E02000577,35.519,100.312,42.333,8.243,40.015
E02000578,36.477,84.137,41.309,6.882,39.091
E02000579,36.529,132.311,45.445,11.687,41.139
E02000580,39.255,82.871,43.88,6.383,41.58
E02000581,37.77,80.5,42.376,6.384,40.113
E02000582,38.992,121.569,44.342,8.352,41.484
E02000583,37.682,129.807,43.704,10.463,40.356
E02000584,37.87,168.07,45.35,12.478,41.74
E02000585,37.651,154.665,45.283,11.646,41.634
E02000586,40.225,163.43,47.759,14.069,43.456
E02000587,38.202,140.681,46.466,11.447,42.579
E02000588,41.486,158.153,51.921,15.326,46.456
E02000589,39.928,123.669,49.041,15.021,44.14
E02000590,41.192,139.058,51.304,14.363,46.089
E02000591,41.147,153.831,54.525,16.968,47.32
E02000592,40.766,129.009,49.505,12.95,45.092
E02000593,39.39,118.114,47.741,11.054,44.014
E02000594,39.907,136.279,46.847,11.157,42.62
E02000595,40.937,115.678,47.848,11.046,43.707
E02000596,39.303,102.744,46.012,10.055,42.467
E02000597,38.536,138.024,50.788,14.093,45.563
E02000598,29.298,77.73,32.496,4.326,31.422
E02000599,29.853,113.6,32.781,5.144,31.139
E02000600,30.127,74.886,33.887,5.02,32.51
E02000601,29.667,89.173,32.703,5.164,31.43
E02000602,30.673,128.98,36.985,8.906,34.069
E02000603,30.063,73.661,33.026,4.142,31.94
E02000604,30.161,99.247,32.466,3.964,31.464
E02000605,29.195,66.634,31.619,3.053,31.01
E02000606,28.696,146.206,36.837,10.07,33.45
E02000607,29.558,80.425,31.652,3.356,30.944
E02000608,28.315,76.094,32.351,4.585,31.089
E02000609,28.987,119.024,34.56,8.205,31.845
E02000610,28.07,80.648,32.488,5.963,31.121
E02000611,29.135,81.512,32.027,6.436,30.198
E02000612,28.6,101.692,31.877,5.853,30.401
E02000613,28.032,95.146,32.19,5.853,30.524
E02000614,27.239,106.172,32.356,7.919,30.041
E02000615,27.651,107.985,31.841,7.07,29.753
E02000616,25.629,52.361,28.397,2.164,28.127
E02000617,24.162,63.874,26.763,3.52,25.678
E02000619,40.894,121.231,46.093,7.972,43.843
E02000620,41.186,121.055,48.196,10.418,44.463
E02000621,38.509,137.431,48.907,14.556,43.158
E02000622,38.041,131.715,46.237,10.426,42.826
E02000623,38.295,79.552,42.5,5.745,40.671
E02000624,38.717,92.61,42.937,6.898,40.741
E02000625,37.972,98.498,42.341,7.52,39.685
E02000626,37.408,81.173,40.14,3.846,38.984
E02000627,37.226,94.237,41.039,5.662,39.443
E02000628,38.287,126.062,44.803,11.104,40.954
E02000629,37.269,84.328,41.36,6.895,39.186
E02000630,37.443,105.297,43.44,8.642,40.513
E02000631,36.257,106.983,40.386,6.614,38.307
E02000632,36.938,119.623,40.7,7.014,38.769
E02000633,36.849,118.548,43.6,10.037,40.332
E02000634,36.032,109.126,42.825,8.87,39.728
E02000635,34.522,90.072,39.268,6.086,37.702
E02000636,35.932,100.479,39.748,7.034,37.691
E02000637,35.485,103.78,39.848,7.847,37.798
E02000638,36.208,99.725,40.707,8.878,37.929
E02000639,36.259,112.743,42.322,8.926,39.278
E02000640,36.021,91.633,39.183,5.1,37.86
E02000641,34.463,73.323,38.16,5.136,36.633
E02000642,34.267,94.482,38.206,5.972,36.321
E02000643,34.277,99.899,38.636,6.782,36.786
E02000644,34.015,80.248,36.672,4.241,35.406
E02000645,32.762,78.64,36.879,5.5,35.225
E02000646,33.973,124.574,38.633,8.654,36.02
E02000647,33.3,70.938,35.57,4.104,34.429
E02000648,32.493,66.083,35.038,3.699,33.954
E02000649,33.405,115.198,38.944,9.078,35.883
E02000650,32.408,65.784,34.853,3.759,33.797
E02000651,32.282,84.799,36.25,7.184,34.061
E02000652,31.914,71.823,34.3,3.588,33.425
E02006801,43.66,172.275,53.509,13.542,48.554
E02000653,34.932,76.808,37.719,3.815,36.894
E02000654,34.699,81.501,38.406,5.721,36.791
E02000655,35.329,140.437,38.652,7.224,36.985
E02000657,35.77,111.546,42.745,10.144,39.128
E02000658,35.205,127.148,41.783,10.082,38.336
E02000659,33.221,119.292,37.427,5.96,35.713
E02000660,34.437,85.407,38.339,5.504,36.788
E02000661,33.151,102.05,37.808,7.025,35.537
E02000662,33.548,65.791,36.747,3.035,36.01
E02000663,33.55,84.726,36.544,4.953,35.434
E02000665,32.792,86.131,36.056,5.27,34.622
E02000666,32.921,91.769,36.425,4.995,35.095
E02000667,32.56,89.109,36.472,5.585,35.001
E02000668,32.348,105.137,36.444,6.933,34.715
E02000669,32.72,94.596,35.735,5.474,34.426
E02000670,32.475,99.068,37.289,7.832,34.901
E02000671,32.556,88.304,35.667,5.373,34.187
E02000672,32.76,121.861,38.48,10.467,35.157
E02000673,33.076,91.593,35.991,5.16,34.358
E02000674,31.608,74.551,34.565,5.008,33.286
E02000675,30.459,122.621,34.603,6.525,32.701
E02000676,32.69,77.505,35.695,5.327,34.153
E02000677,31.136,95.814,34.348,5.933,32.943
E02000678,30.665,92.674,33.621,4.78,32.299
E02000679,31.572,71.365,34.145,3.751,33.199
E02000680,32.76,73.157,35.742,4.802,34.261
E02000681,31.374,106.884,34.133,5.24,32.829
E02000682,30.935,79.969,33.931,4.875,32.769
E02000683,28.52,60.276,31.646,3.593,30.978
E02000685,32.198,75.197,34.944,5.065,33.484
E02000686,29.371,83.961,32.853,4.774,32.027
E02000687,31.427,71.033,34.32,4.382,33.094
E02006783,30.347,73.251,32.914,4.146,31.811
E02006784,29.303,92.804,32.61,4.555,31.362
E02006798,35.267,132.042,40.881,9.604,38.122
E02007008,34.882,113.571,43.237,12.011,39.134
E02007009,33.309,116.931,39.474,9.492,36.602
E02000689,31.852,84.481,34.869,3.95,33.997
E02000690,30.033,74.817,31.796,2.45,31.146
E02000691,32.622,83.484,36.09,5.139,34.497
E02000692,31.713,86.691,35.173,4.941,33.747
E02000693,32.538,102.317,36.002,6.646,33.986
E02000694,32.594,100.407,35.669,5.713,34.001
E02000695,32.403,61.726,34.377,2.886,33.728
E02000696,32.418,75.41,34.51,3.964,33.508
E02000697,31.454,89.586,36.992,7.55,34.698
E02000698,30.553,68.178,32.765,3.362,31.853
E02000699,31.186,69.385,34.526,4.139,33.439
E02000700,31.251,91.479,34.492,4.835,33.072
E02000701,32.497,97.77,36.715,6.932,34.37
E02000702,31.203,86.212,34.45,4.704,33.169
E02000703,31.177,72.061,34.394,5.032,32.967
E02000704,30.154,78.864,34.494,5.095,33.015
E02000705,31.658,67.581,33.786,3.182,33.043
E02000706,31.469,85.852,34.631,4.991,33.271
E02000707,30.488,71.609,33.167,4.136,32.178
E02000708,28.96,86.498,32.991,5.646,31.54
E02000709,29.235,65.432,31.799,2.452,31.492
E02000710,29.856,90.738,33.985,5.976,32.162
E02000711,31.01,137.265,35.89,8.797,33.13
E02000712,29.65,64.665,32.62,3.431,31.869
E02000713,28.748,61.055,31.172,2.663,30.7
E02000714,32.004,63.345,35.453,3.91,34.304
E02000715,31.625,97.749,36.213,8.461,33.524
E02000716,30.141,94.588,33.359,4.66,32.052
E02000717,31.645,112.904,37.321,8.387,34.437
E02000718,31.554,170.99,37.466,9.533,34.294
E02000719,32.474,76.13,35.365,4.375,34.056
E02000720,31.241,80.396,35.788,5.537,34.36
E02000721,32.963,90.186,37.06,6.687,34.921
E02000722,33.236,74.791,37.637,6.07,35.701
E02000723,31.853,81.419,34.812,5.484,33.278
E02000724,31.818,65.686,33.517,3.254,32.855
E02000725,34.47,190.792,42.138,11.55,38.417
E02000727,32.942,61.734,35.972,4.802,34.353
E02000728,31.866,82.426,36.391,7.322,34.389
E02000729,32.497,68.064,34.984,4.113,33.84
E02000730,32.866,61.772,35.284,4.281,34.029
E02000731,32.665,93.28,38.474,8.892,35.39
E02000732,32.534,64.436,34.177,2.888,33.551
E02000733,33.759,80.002,38.23,5.758,36.469
E02000734,33.668,71.692,37.484,5.929,35.591
E02000735,32.604,66.652,34.65,3.66,33.749
E02000736,34.345,144.047,42.557,14.353,37.365
E02000737,32.638,83.536,35.943,5.215,34.846
E02000738,32.962,67.955,34.941,4.076,33.959
E02000739,33.756,84.686,37.822,6.252,35.697
E02000740,33.19,61.559,35.26,2.764,34.659
E02000741,33.124,87.018,36.411,6.187,34.753
E02000742,33.068,115.437,38.396,8.703,36.067
E02000743,33.794,117.841,39.94,10.103,36.771
E02000744,34.416,141.007,43.184,14.806,38.014
E02000745,33.765,156.71,42.449,14.78,37.569
E02000746,29.429,131.28,34.896,7.9,32.931
E02000747,33.709,133.737,39.55,9.057,36.728
E02000748,32.86,62.671,35.588,3.517,34.55
E02000749,33.588,152.132,37.34,7.147,35.764
E02006995,33.274,116.062,36.931,9.123,34.491
E02006996,33.405,159.861,37.654,6.856,35.62
E02006997,33.853,111.188,37.262,6.148,35.602
E02006998,31.125,70.469,34.583,3.337,33.903
E02006999,33.07,78.499,36.36,5.608,34.69
E02000751,26.238,79.99,29.786,4.313,28.636
E02000752,22.727,66.826,25.083,3.219,24.343
E02000753,24.711,43.743,26.438,1.533,26.193
E02000754,26.332,66.509,29.687,2.954,29.395
E02000755,27.212,73.682,32.848,6.798,30.641
E02000756,25.174,74.67,28.114,3.51,27.357
E02000757,29.718,106.084,36.815,10.53,33.17
E02000758,27.36,79.039,29.681,3.071,29.147
E02000759,28.906,179.176,38.961,13.666,34.467
E02000760,27.2,72.364,29.959,3.964,28.966
E02000762,28.564,79.788,32.619,5.948,30.864
E02000763,24.303,95.799,26.934,4.084,26.075
E02000764,30.371,125.95,35.03,6.918,33.225
E02000765,28.703,75.281,32.898,6.266,30.839
E02000767,28.356,83.171,32.187,6.039,30.353
E02000768,30.096,145.294,38.267,14.204,33.275
E02000770,27.308,104.705,32.142,7.696,30.241
