LSOA21CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E01003430,15.293,18.97,15.633,0.54,15.47
E01003431,15.235,19.621,15.449,0.334,15.375
E01003432,15.236,27.292,15.593,1.136,15.361
E01003433,15.321,21.535,15.853,0.788,15.634
E01003434,15.309,21.73,15.696,0.564,15.589
E01003435,15.202,31.09,15.999,1.48,15.578
E01003436,15.077,30.412,15.864,1.852,15.347
E01003437,15.004,26.55,15.55,1.058,15.237
E01003438,15.133,23.101,15.895,1.191,15.537
E01003439,15.092,38.28,16.718,2.658,15.778
E01003440,15.083,25.052,15.748,1.234,15.375
E01003441,15.093,23.608,15.737,1.21,15.422
E01003442,15.306,19.484,15.693,0.64,15.486
E01003443,15.311,18.176,15.589,0.278,15.526
E01003444,15.09,21.183,15.517,0.594,15.361
E01003445,15.069,28.885,16.161,1.642,15.617
E01003446,15.416,35.427,16.696,1.883,16.123
E01003447,15.192,34.125,16.968,2.366,16.161
E01003448,14.991,29.171,15.811,1.653,15.381
E01003449,14.913,20.77,15.401,0.806,15.192
E01003450,14.911,24.724,15.43,0.754,15.248
E01003451,14.829,30.943,15.399,1.151,15.114
E01003452,14.828,22.867,15.37,0.812,15.109
E01003453,15.017,29.371,15.576,0.985,15.344
E01003454,15.637,25.538,16.177,0.823,15.924
E01003455,15.625,24.487,16.006,1.014,15.743
E01003456,15.621,25.508,16.245,1.124,15.933
E01003457,15.618,16.356,15.755,0.11,15.721
E01003458,15.683,23.331,16.237,1.162,15.904
E01003459,15.725,26.179,16.281,1.311,15.931
E01003460,14.719,23.467,15.024,0.548,14.904
E01003461,15.354,24.134,16.056,1.098,15.706
E01003462,14.899,18.789,15.34,0.496,15.233
E01003463,14.929,24.597,15.527,0.888,15.257
E01003464,14.914,22.29,15.385,0.592,15.262
E01003465,15.173,22.672,15.504,0.516,15.427
E01003466,15.449,19.235,16.064,0.581,15.997
E01003467,15.415,24.236,16.208,0.919,16.07
E01003468,15.938,17.601,16.431,0.262,16.401
E01003469,15.34,32.23,17.742,2.798,16.891
E01003470,16.092,31.724,17.612,2.486,16.739
E01003471,15.538,34.741,16.666,1.905,16.128
E01003472,15.414,16.115,15.69,0.143,15.685
E01003473,15.296,23.279,15.791,0.685,15.661
E01003474,15.227,16.694,15.485,0.224,15.434
E01003476,15.568,23.956,15.959,0.792,15.779
E01003477,15.716,25.702,16.483,1.428,16.066
E01003478,15.692,25.673,16.166,1.103,15.889
E01003479,17.839,23.866,20.387,1.419,20.323
E01003480,17.48,26.459,18.61,1.231,18.218
E01003481,17.687,29.061,21.213,2.182,20.717
E01003483,18.177,51.902,21.186,6.005,18.978
E01003484,18.085,33.867,18.686,1.569,18.397
E01003485,17.94,20.334,18.559,0.565,18.341
E01003486,17.31,28.059,18.395,1.184,18.109
E01003487,17.054,23.169,17.677,0.816,17.512
E01003488,16.485,33.88,16.851,1.272,16.683
E01003489,16.594,19.264,16.901,0.435,16.768
E01003490,16.491,35.12,16.848,1.202,16.719
E01003491,16.563,45.919,17.203,2.199,16.853
E01003492,17.151,18.385,17.501,0.178,17.491
E01003494,17.523,19.187,17.894,0.238,17.846
E01003495,17.079,17.973,17.421,0.162,17.406
E01003496,16.766,25.188,17.242,0.943,17.006
E01003497,17.396,69.423,18.854,3.858,18.021
E01003498,16.773,19.043,17.156,0.337,17.097
E01003499,17.022,27.132,17.819,1.235,17.505
E01003500,16.806,26.093,17.394,0.722,17.261
E01003501,17.077,27.269,17.735,0.976,17.564
E01003502,17.675,52.436,20.688,4.562,19.31
E01003503,18.429,94.079,24.767,12.074,20.438
E01003506,17.641,21.981,18.179,0.708,18.001
E01003507,17.402,41.511,18.545,2.181,17.839
E01003508,17.695,49.789,21.259,6.034,19.025
E01003509,17.679,48.912,19.684,3.647,18.58
E01003511,17.839,19.16,18.286,0.271,18.248
E01003512,17.784,25.017,18.53,1.219,18.175
E01003513,17.711,30.021,20.119,2.218,19.491
E01003514,17.723,20.629,18.733,0.627,18.625
E01003515,17.517,28.623,19.288,1.391,18.906
E01003516,17.847,59.781,20.768,4.746,19.197
E01003517,17.512,46.995,19.627,4.548,18.113
E01003518,17.616,43.707,18.748,2.299,18.222
E01003519,17.836,19.28,18.222,0.237,18.199
E01003520,16.384,31.597,16.987,1.687,16.656
E01003521,16.543,27.742,17.353,1.324,16.978
E01003522,16.502,21.72,16.781,0.522,16.705
E01003523,16.609,31.891,17.718,2.12,17.061
E01003524,16.637,32.356,17.295,1.61,16.948
E01003525,16.716,51.669,18.234,4.509,16.996
E01003526,16.712,45.274,17.151,1.874,16.909
E01003527,16.723,29.026,17.085,1.029,16.964
E01003528,15.876,18.052,16.075,0.288,16.002
E01003529,16.051,23.201,16.433,1.113,16.195
E01003530,15.925,18.313,16.132,0.269,16.072
E01003531,16.069,31.498,16.728,1.505,16.387
E01003532,16.136,17.8,16.484,0.305,16.386
E01003533,16.195,22.282,16.757,0.758,16.519
E01003534,15.926,24.325,16.261,0.934,16.107
E01003535,16.544,48.922,19.71,5.128,17.664
E01003536,16.884,39.763,18.496,3.583,17.423
E01003537,16.923,25.258,17.326,0.534,17.189
E01003538,17.064,26.731,17.861,1.226,17.565
E01003539,17.795,59.231,20.031,5.156,18.592
E01003540,17.256,37.675,19.648,3.092,18.669
E01003541,17.996,52.248,19.987,4.064,18.76
E01003542,16.559,28.118,17.155,1.159,16.934
E01003543,15.833,25.163,16.634,1.252,16.282
E01003544,16.209,26.048,16.507,0.609,16.364
E01003545,16.21,19.294,16.526,0.316,16.454
E01003546,16.188,18.647,16.451,0.339,16.369
E01003547,15.666,16.401,15.954,0.15,15.947
E01003548,16.271,22.883,16.793,0.594,16.664
E01003549,16.538,23.118,17.107,0.754,16.854
E01003550,15.933,20.989,16.615,0.905,16.342
E01003551,16.609,28.414,17.718,2.146,17.029
E01003552,16.462,19.867,16.65,0.306,16.587
E01003553,16.701,27.76,17.374,1.276,17.023
E01003554,16.701,20.481,17.078,0.411,16.995
E01003555,16.014,28.286,16.574,1.084,16.337
E01003556,16.273,32.04,17.342,1.935,16.773
E01003557,16.442,21.023,16.718,0.322,16.662
E01003558,16.457,31.007,17.501,2.055,16.841
E01003559,16.865,29.584,17.757,1.249,17.511
E01003560,16.081,16.625,16.22,0.114,16.195
E01003561,16.137,19.325,16.571,0.457,16.45
E01003562,16.275,20.008,16.663,0.609,16.457
E01003563,16.095,16.972,16.267,0.128,16.237
E01003564,16.341,19.895,16.614,0.411,16.494
E01003565,16.453,21.081,17.003,0.801,16.749
E01003566,16.469,23.029,17.347,1.215,16.94
E01003567,16.274,30.636,17.422,2.176,16.744
E01003568,16.496,17.336,16.612,0.113,16.567
E01003569,16.5,22.762,17.081,0.977,16.767
E01003570,16.396,28.419,17.085,1.547,16.663
E01003571,16.324,20.021,16.635,0.521,16.489
E01003572,16.411,22.294,16.958,0.955,16.66
E01003573,16.353,20.106,16.619,0.549,16.48
E01003574,16.384,21.503,16.896,0.764,16.653
E01003575,15.8,19.2,16.081,0.351,15.994
E01003576,16.01,37.958,17.95,3.334,16.816
E01003577,16.053,40.23,18.484,3.981,16.92
E01003578,15.335,35.559,15.874,1.291,15.654
E01003579,15.803,18.079,15.985,0.248,15.913
E01003580,15.94,32.97,17.721,3.699,16.341
E01003581,15.805,17.685,16.135,0.311,16.033
E01003582,15.87,16.601,16.058,0.135,16.033
E01003583,15.791,16.588,15.958,0.14,15.933
E01003584,15.563,17.05,15.893,0.257,15.829
E01003585,15.884,16.56,16.045,0.122,16.018
E01003586,16.006,28.967,16.924,1.855,16.361
E01003587,15.927,29.72,16.711,1.827,16.244
E01003588,16.015,23.613,16.145,0.56,16.069
E01003589,15.991,22.285,16.169,0.665,16.071
E01003590,15.6,19.581,16.104,0.581,15.934
E01003591,15.909,37.149,17.431,3.534,16.3
E01003592,16.581,20.369,16.94,0.387,16.863
E01003593,16.773,20.138,17.074,0.394,16.971
E01003594,16.955,21.417,17.281,0.591,17.127
E01003595,16.97,30.986,18.016,1.943,17.333
E01003596,16.568,24.636,17.37,1.357,16.903
E01003597,16.54,23.744,16.922,0.799,16.736
E01003598,16.681,24.887,17.236,1.164,16.927
E01003599,16.513,17.191,16.731,0.143,16.716
E01003600,16.782,31.059,17.967,1.988,17.315
E01003601,17.471,41.062,18.792,2.157,18.436
E01003602,17.289,29.841,18.341,1.692,17.918
E01003603,17.8,19.804,18.396,0.287,18.368
E01003604,17.743,58.484,22.321,7.214,19.591
E01003605,17.152,35.643,18.289,2.668,17.746
E01003607,17.225,27.198,18.234,1.619,17.715
E01003608,17.805,18.489,18.061,0.145,18.067
E01003611,17.341,23.557,18.692,0.917,18.498
E01003615,16.802,23.387,17.275,0.83,17.063
E01003616,17.171,23.442,17.863,1.051,17.563
E01003618,17.258,41.41,18.705,2.362,18.076
E01003619,17.224,49.21,19.632,3.163,18.673
E01003621,16.559,18.146,16.956,0.302,16.881
E01003622,16.573,48.069,19.499,4.954,17.586
E01003623,16.505,41.393,17.713,3.472,16.876
E01003624,16.515,17.559,16.754,0.183,16.722
E01003625,15.948,33.666,17.929,3.814,16.487
E01003626,15.97,16.802,16.253,0.14,16.234
E01003627,16.214,18.479,16.503,0.362,16.394
E01003628,16.334,16.979,16.562,0.129,16.544
E01003629,16.338,16.814,16.524,0.108,16.514
E01003630,16.816,25.787,17.881,1.611,17.354
E01003631,16.816,27.383,17.737,1.568,17.265
E01003632,16.786,18.5,17.024,0.177,16.987
E01003633,17.088,33.166,18.433,2.311,17.652
E01003634,16.918,18.954,17.449,0.306,17.412
E01003635,16.473,22.677,16.95,0.761,16.729
E01003636,17.135,27.72,18.13,1.541,17.612
E01003637,16.7,17.597,17.0,0.149,17.001
E01003638,14.862,21.413,15.266,0.825,15.047
E01003639,14.258,20.229,14.7,0.533,14.584
E01003640,13.77,37.783,14.367,1.033,14.183
E01003641,14.612,30.433,15.873,2.131,15.161
E01003642,14.419,16.075,14.924,0.31,14.91
E01003643,14.884,19.198,15.308,0.634,15.146
E01003644,15.141,27.502,16.072,1.78,15.531
E01003645,15.075,39.2,16.25,2.061,15.587
E01003646,15.541,27.364,16.732,1.905,16.034
E01003647,15.147,28.372,16.35,1.953,15.736
E01003648,14.806,21.701,15.088,0.56,14.985
E01003649,14.92,23.448,15.362,0.74,15.193
E01003650,14.864,25.284,15.391,0.958,15.159
E01003651,15.122,22.129,16.198,1.391,15.732
E01003652,14.985,15.861,15.181,0.137,15.155
E01003653,15.15,24.44,16.211,1.506,15.685
E01003654,15.056,20.148,15.437,0.559,15.277
E01003655,14.651,17.163,15.056,0.33,15.002
E01003656,14.71,31.951,16.361,2.482,15.408
E01003657,14.512,26.827,15.397,1.173,15.123
E01003658,14.828,17.382,15.226,0.345,15.2
E01003659,15.039,32.332,17.11,2.411,16.18
E01003660,14.244,25.726,14.793,0.915,14.665
E01003661,14.74,20.58,15.118,0.446,14.998
E01003662,14.891,24.813,15.808,1.571,15.258
E01003663,14.755,26.527,15.763,1.69,15.192
E01003664,14.564,15.471,14.769,0.123,14.738
E01003665,14.66,17.791,14.929,0.309,14.879
E01003666,14.924,24.018,15.326,0.916,15.115
E01003668,15.659,25.141,16.21,1.067,15.984
E01003669,15.556,25.561,16.467,1.209,16.104
E01003670,15.361,27.076,16.371,1.77,15.843
E01003671,15.222,16.187,15.471,0.19,15.425
E01003672,15.988,42.182,18.45,3.6,17.035
E01003673,16.084,37.146,20.241,5.425,17.744
E01003674,15.75,47.518,18.261,3.87,16.873
E01003675,15.555,42.652,19.315,4.858,17.404
E01003676,15.365,27.77,16.226,1.289,15.85
E01003677,15.205,32.179,16.439,1.304,16.059
E01003678,15.011,23.567,15.41,0.534,15.303
E01003679,14.916,18.611,15.246,0.435,15.157
E01003680,14.885,24.191,15.109,0.592,14.999
E01003681,15.003,25.649,16.16,1.723,15.598
E01003682,15.173,18.15,15.416,0.238,15.388
E01003683,15.503,16.067,15.635,0.099,15.601
