LSOA11CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median
E01001867,16.604,25.057,17.335,1.388,16.804
E01001868,16.636,17.806,16.809,0.213,16.753
E01001869,16.441,21.639,16.79,0.854,16.565
E01001870,16.662,24.915,17.42,1.488,16.911
E01001871,16.445,23.456,16.949,0.804,16.691
E01001872,16.625,24.192,17.077,1.143,16.77
E01001873,16.457,16.642,16.523,0.039,16.515
E01001874,15.958,28.807,16.65,1.089,16.397
E01001875,16.022,26.812,16.927,1.494,16.467
E01001876,15.902,24.842,16.291,0.922,16.037
E01001877,15.867,27.637,16.299,1.016,16.021
E01001878,15.964,18.517,16.184,0.391,16.062
E01001879,16.52,18.398,16.673,0.267,16.604
E01001880,16.647,20.262,16.784,0.398,16.696
E01001881,16.588,20.857,16.925,0.586,16.741
E01001882,16.523,17.831,16.695,0.233,16.62
E01001883,16.661,18.61,16.781,0.233,16.726
E01001884,16.674,20.304,17.068,0.663,16.819
E01001885,16.569,18.543,16.782,0.314,16.694
E01001886,16.365,18.902,16.696,0.466,16.528
E01001887,16.351,19.627,16.591,0.458,16.44
E01001888,16.096,19.22,16.257,0.215,16.225
E01001889,16.402,25.117,16.957,1.391,16.582
E01001890,16.356,20.151,16.602,0.633,16.438
E01001891,16.134,20.794,16.645,0.847,16.362
E01001892,16.404,16.591,16.474,0.044,16.47
E01001893,16.338,29.386,17.323,1.592,16.833
E01001894,16.584,27.433,17.882,1.908,17.007
E01001895,16.329,19.34,16.555,0.487,16.412
E01001896,16.411,19.649,16.705,0.447,16.554
E01001897,16.344,17.502,16.459,0.156,16.431
E01001898,16.417,23.078,17.389,1.277,16.865
E01001899,16.364,22.098,17.084,0.822,16.797
E01001900,16.427,32.548,17.772,2.127,16.923
E01001901,16.393,17.768,16.498,0.129,16.479
E01001902,16.316,17.801,16.561,0.261,16.488
E01001903,16.322,18.203,16.656,0.343,16.555
E01001904,16.267,18.585,16.465,0.364,16.363
E01001905,16.269,18.741,16.448,0.353,16.346
E01001906,16.277,18.832,16.463,0.358,16.371
E01001907,16.288,18.487,16.503,0.373,16.378
E01001908,16.577,17.821,16.782,0.23,16.726
E01001909,16.495,20.078,16.698,0.355,16.625
E01001910,16.44,25.355,17.088,1.339,16.735
E01001911,16.582,25.922,16.997,0.989,16.763
E01001912,16.667,18.871,16.878,0.358,16.758
E01001913,16.43,18.624,16.573,0.236,16.523
E01001914,16.713,25.896,18.011,2.076,17.187
E01001915,15.936,22.712,16.304,0.654,16.132
E01001916,16.049,17.098,16.168,0.115,16.143
E01001917,15.987,19.038,16.207,0.32,16.148
E01001918,16.14,18.575,16.368,0.416,16.238
E01001919,15.942,16.376,16.101,0.076,16.096
E01001920,16.649,20.848,17.104,0.717,16.828
E01001921,16.569,19.605,16.915,0.48,16.778
E01001922,16.256,19.415,16.499,0.301,16.439
E01001923,16.415,20.119,16.8,0.569,16.629
E01001924,16.294,19.464,16.748,0.579,16.543
E01001925,16.225,19.087,16.438,0.389,16.327
E01001926,16.235,18.744,16.512,0.405,16.377
E01001927,16.003,17.876,16.164,0.244,16.107
E01001928,16.256,20.203,16.535,0.429,16.417
E01001929,16.325,18.833,16.573,0.385,16.442
E01001930,16.094,19.503,16.478,0.519,16.303
E01001931,16.26,18.726,16.438,0.327,16.379
E01001932,16.328,25.081,17.361,1.506,16.877
E01001933,16.364,24.74,17.206,1.478,16.675
E01001934,16.155,16.95,16.27,0.119,16.235
E01001935,16.36,18.824,16.477,0.267,16.426
E01001937,16.186,18.788,16.445,0.449,16.296
E01001938,16.274,21.706,16.694,0.689,16.487
E01001939,16.361,17.052,16.5,0.094,16.483
E01001940,16.298,18.655,16.538,0.382,16.418
E01001941,16.366,21.039,16.956,0.861,16.63
E01001942,16.289,18.405,16.622,0.564,16.393
E01001943,16.244,24.151,16.898,0.886,16.601
E01001944,16.461,18.349,16.69,0.285,16.613
E01001945,16.202,17.762,16.385,0.292,16.309
E01001946,16.213,18.296,16.323,0.18,16.282
E01001947,16.439,18.734,16.662,0.359,16.564
E01001948,16.299,18.757,16.526,0.408,16.401
E01001949,16.377,18.511,16.519,0.272,16.451
E01001950,16.364,18.34,16.56,0.291,16.485
E01001951,16.301,18.982,16.58,0.428,16.431
E01001952,16.313,19.249,16.728,0.562,16.486
E01001953,16.484,19.937,16.971,0.643,16.734
E01001954,16.123,19.262,16.518,0.829,16.227
E01001955,16.162,24.219,16.518,0.78,16.309
E01001956,16.122,19.488,16.326,0.52,16.211
E01001957,16.249,22.981,16.572,0.839,16.359
E01001958,16.366,24.419,17.425,1.734,16.743
E01001959,16.211,25.104,17.056,1.621,16.455
E01001960,16.182,19.469,16.424,0.554,16.286
E01001961,16.244,16.714,16.326,0.074,16.308
E01001962,15.374,19.594,15.625,0.358,15.532
E01001963,15.372,17.88,15.546,0.3,15.469
E01001964,15.49,18.494,15.68,0.249,15.605
E01001965,15.528,17.067,15.605,0.158,15.572
E01001966,15.494,17.803,15.651,0.256,15.576
E01001967,15.521,15.78,15.601,0.047,15.595
E01001968,15.551,19.257,15.926,0.601,15.72
E01001969,15.545,17.69,15.659,0.183,15.62
E01001970,15.55,19.733,15.811,0.5,15.654
E01001971,15.592,17.867,15.739,0.238,15.688
E01001972,15.563,18.056,15.859,0.443,15.709
E01001973,15.477,20.695,15.816,0.546,15.618
E01001974,15.521,17.62,15.654,0.237,15.597
E01001975,15.519,18.067,15.664,0.332,15.588
E01001976,15.67,17.206,15.753,0.136,15.723
E01001977,15.677,17.581,15.855,0.255,15.767
E01001978,15.683,19.258,16.067,0.629,15.803
E01001979,15.674,20.736,16.093,0.773,15.817
E01001980,15.65,16.297,15.756,0.081,15.739
E01001981,15.709,17.193,15.841,0.18,15.794
E01001982,15.69,16.996,15.849,0.185,15.798
E01001983,15.685,16.793,15.834,0.172,15.789
E01001984,15.735,18.694,15.989,0.389,15.885
E01001985,15.734,17.258,15.847,0.151,15.816
E01001986,15.904,17.042,15.989,0.15,15.949
E01001987,15.638,17.228,15.828,0.188,15.784
E01001988,15.905,18.547,16.024,0.252,15.964
E01001989,15.639,18.088,15.884,0.328,15.788
E01001990,15.841,19.145,16.397,0.708,16.119
E01001991,15.544,18.273,15.958,0.458,15.799
E01001992,15.412,17.512,15.601,0.254,15.544
E01001993,15.583,16.561,15.674,0.11,15.645
E01001994,15.593,19.344,15.986,0.594,15.777
E01001995,15.385,16.238,15.461,0.067,15.446
E01001996,15.44,19.207,15.641,0.415,15.549
E01001997,15.543,20.336,16.078,0.83,15.794
E01001998,15.866,17.526,16.041,0.305,15.942
E01001999,15.89,19.167,16.23,0.566,16.034
E01002000,15.879,17.901,16.156,0.384,16.0
E01002001,15.962,17.101,16.076,0.103,16.056
E01002002,16.033,20.207,16.404,0.484,16.245
E01002003,15.867,20.924,16.432,0.764,16.126
E01002004,15.886,17.484,16.035,0.256,15.964
E01002005,15.82,19.513,16.196,0.692,15.957
E01002006,15.782,18.32,16.01,0.301,15.923
E01002007,15.814,20.196,16.092,0.612,15.907
E01002008,15.591,19.274,15.839,0.408,15.714
E01002009,15.815,19.61,16.112,0.499,15.955
E01002010,15.591,19.054,15.786,0.356,15.686
E01002011,15.598,19.737,15.856,0.469,15.706
E01002013,15.592,18.576,15.911,0.501,15.745
E01002014,15.783,19.033,16.174,0.484,15.987
E01002015,15.762,17.275,15.901,0.172,15.85
E01002016,15.845,18.549,16.01,0.324,15.921
E01002017,15.823,18.818,16.06,0.418,15.937
