LSOA21CD,PM10d-2013-min,PM10d-2013-max,PM10d-2013-mean,PM10d-2013-std,PM10d-2013-median
E01003432,9.849,39.792,10.685,2.566,10.274
E01003433,10.307,29.796,11.652,2.614,10.912
E01003434,10.437,28.606,11.708,2.06,11.199
E01003435,10.324,74.736,11.805,3.437,10.951
E01003436,10.171,23.282,11.069,1.94,10.54
E01003437,9.881,24.225,11.015,2.139,10.398
E01003438,10.288,22.005,11.643,2.08,10.953
E01003439,10.304,93.306,13.389,6.892,11.304
E01003440,10.232,30.506,11.453,2.609,10.658
E01003441,9.897,31.609,11.425,2.784,10.705
E01003442,10.15,33.057,11.117,1.949,10.578
E01003443,10.103,17.687,10.399,0.404,10.314
E01003444,9.903,21.444,10.493,0.928,10.243
E01003445,9.86,27.474,11.214,2.585,10.389
E01003446,10.205,41.865,11.802,2.386,11.081
E01003447,9.967,36.09,12.169,3.357,10.943
E01003448,10.137,22.494,11.12,1.746,10.641
E01003449,10.056,21.238,10.949,1.537,10.531
E01003450,10.043,20.071,10.718,1.177,10.394
E01003451,9.529,29.008,10.442,1.943,9.997
E01003452,9.547,19.398,10.755,1.425,10.33
E01003453,10.255,23.178,11.295,1.517,10.839
E01003454,10.934,27.855,11.698,1.357,11.295
E01003455,10.813,24.649,11.353,1.457,11.0
E01003456,10.917,39.236,12.276,2.772,11.519
E01003457,10.895,12.038,11.143,0.197,11.071
E01003458,10.982,29.179,11.996,2.438,11.347
E01003459,10.936,27.625,11.869,2.215,11.305
E01003460,9.629,40.118,10.152,1.223,9.901
E01003461,10.499,30.597,11.854,2.354,11.073
E01003462,9.843,24.776,10.612,1.332,10.314
E01003463,9.833,17.814,10.551,1.118,10.214
E01003464,10.031,22.393,10.803,1.055,10.572
E01003465,10.299,20.718,10.845,0.882,10.638
E01003466,9.79,16.582,10.432,0.94,10.128
E01003467,9.362,26.698,10.317,1.914,9.856
E01003468,9.187,12.834,9.596,0.396,9.487
E01003469,9.425,51.539,12.721,5.272,11.027
E01003470,9.741,39.424,11.967,4.022,10.567
E01003471,9.964,25.492,11.114,1.767,10.586
E01003472,10.76,11.934,11.187,0.232,11.168
E01003473,10.526,26.759,11.392,1.458,11.014
E01003474,10.487,16.273,10.901,0.703,10.699
E01003476,10.704,24.957,11.674,1.863,11.193
E01003477,10.97,30.364,12.341,2.708,11.499
E01003478,11.037,27.773,12.017,2.05,11.515
E01003479,10.805,14.908,11.126,0.406,11.032
E01003480,10.583,49.769,12.869,4.349,11.616
E01003481,10.645,26.214,11.946,2.066,11.174
