LSOA11CD,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median
E01002483,9.601,14.183,9.851,0.417,9.737
E01002484,9.572,14.415,9.745,0.358,9.683
E01002485,9.496,14.395,9.918,0.675,9.712
E01002486,10.037,17.425,10.504,0.822,10.215
E01002487,10.068,12.606,10.233,0.205,10.176
E01002488,10.08,15.82,10.437,0.646,10.249
E01002489,10.204,13.659,10.553,0.55,10.358
E01002490,10.128,17.024,10.818,0.966,10.467
E01002491,10.209,15.486,10.701,0.979,10.352
E01002492,10.261,14.254,10.665,0.627,10.437
E01002493,10.236,15.623,10.661,0.859,10.39
E01002494,9.644,16.035,9.88,0.502,9.746
E01002495,9.848,13.282,10.269,0.44,10.153
E01002496,10.071,12.745,10.265,0.3,10.187
E01002497,10.047,13.701,10.327,0.344,10.24
E01002498,10.103,12.263,10.246,0.242,10.174
E01002499,9.855,17.01,10.686,0.926,10.438
E01002501,10.116,10.423,10.221,0.056,10.211
E01002502,10.098,10.361,10.164,0.044,10.154
E01002503,10.118,10.516,10.243,0.072,10.232
E01002504,9.983,15.969,10.124,0.365,10.05
E01002505,10.137,14.668,10.531,0.691,10.313
E01002506,10.219,12.746,10.408,0.226,10.362
E01002507,10.154,17.301,10.579,0.711,10.411
E01002508,10.031,14.348,10.34,0.544,10.188
E01002509,9.664,12.971,9.802,0.264,9.747
E01002511,9.728,15.941,10.222,0.722,9.98
E01002512,9.582,16.37,9.901,0.639,9.724
E01002513,9.623,15.549,9.944,0.564,9.77
E01002514,9.582,12.24,9.838,0.256,9.784
E01002515,9.623,14.497,9.902,0.427,9.803
E01002516,9.656,12.594,9.764,0.223,9.708
E01002518,9.629,13.223,9.864,0.345,9.79
E01002519,9.496,12.831,9.667,0.307,9.585
E01002520,9.459,11.611,9.648,0.209,9.607
E01002521,9.476,13.895,9.959,0.6,9.762
E01002523,9.663,12.829,9.946,0.568,9.799
E01002525,9.703,12.755,9.865,0.217,9.833
E01002526,9.988,12.334,10.116,0.171,10.093
E01002527,9.582,13.199,9.846,0.435,9.732
E01002528,9.993,16.773,10.318,0.687,10.153
E01002529,9.886,12.998,10.1,0.376,9.992
E01002530,9.79,13.29,10.178,0.481,10.023
E01002531,9.593,12.756,9.768,0.182,9.737
E01002532,9.944,15.592,10.297,0.554,10.183
E01002533,9.266,11.956,9.437,0.16,9.397
E01002534,9.522,10.402,9.704,0.125,9.679
E01002535,9.767,15.036,10.198,0.588,10.02
E01002536,9.544,11.689,9.851,0.328,9.772
E01002537,9.548,12.044,9.83,0.323,9.75
E01002538,9.383,12.332,9.563,0.264,9.5
E01002539,9.535,12.582,9.717,0.28,9.657
E01002540,10.014,11.331,10.192,0.21,10.145
E01002541,10.058,11.332,10.155,0.137,10.131
E01002542,10.035,11.142,10.142,0.124,10.112
E01002543,10.037,11.595,10.277,0.279,10.186
E01002544,10.06,10.395,10.118,0.057,10.096
E01002545,10.081,11.606,10.277,0.27,10.175
E01002546,10.146,16.958,10.666,0.665,10.45
E01002547,10.125,13.666,10.437,0.495,10.299
E01002548,9.918,14.212,10.165,0.298,10.097
E01002549,9.865,14.243,10.282,0.547,10.125
E01002550,9.699,10.23,9.819,0.081,9.809
E01002551,9.783,13.25,9.94,0.295,9.865
