LSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01004740,33.377,79.708,35.211,5.844,33.833
E01004741,33.409,91.246,36.604,8.607,33.721
E01004742,33.359,55.121,34.878,3.012,33.999
E01004743,34.078,45.514,35.92,2.744,34.919
E01004744,34.092,82.631,36.836,5.939,35.53
E01004746,33.85,37.234,34.293,0.494,34.117
E01004747,33.466,76.303,35.909,5.573,34.238
E01004748,35.01,99.199,38.521,9.908,35.741
E01004749,33.592,93.567,37.349,7.017,35.202
E01004750,34.437,124.11,39.354,10.24,35.305
E01004751,33.874,66.095,36.235,4.116,34.934
E01004752,33.591,42.376,34.345,1.35,33.948
E01004753,33.603,42.101,34.531,1.296,34.199
E01004754,33.087,45.431,34.044,1.292,33.713
E01004755,32.838,83.574,38.033,7.01,35.361
E01004756,32.724,47.717,34.623,2.355,33.77
E01004757,33.755,86.0,40.257,8.882,36.482
E01004760,32.069,44.735,33.267,1.903,32.745
E01004761,37.941,128.85,43.007,9.458,39.899
E01004762,38.013,102.595,44.098,8.294,41.272
E01004763,37.876,131.369,41.172,9.294,38.787
E01004765,37.763,110.197,41.471,8.599,38.644
E01032512,33.64,76.428,40.744,9.589,36.703
E01032513,33.061,52.165,35.853,3.633,34.551
E01032562,23.301,25.118,23.724,0.315,23.658
E01032563,23.303,38.783,23.956,1.147,23.72
E01032564,23.716,33.422,24.524,1.289,24.176
E01032565,23.61,37.721,24.348,1.146,24.096
E01032566,23.443,45.415,24.294,1.958,23.827
E01032567,23.374,39.193,24.629,1.836,24.162
E01032568,23.51,55.066,26.019,4.364,24.711
E01032569,23.522,45.294,24.93,2.764,24.135
E01032570,17.277,25.369,18.265,1.019,18.032
E01032572,28.451,43.638,30.179,2.533,29.331
E01032573,28.364,55.826,31.641,3.998,30.493
E01032574,26.271,69.817,28.449,4.159,27.379
E01032575,26.488,35.247,27.232,0.863,27.052
E01032576,23.011,24.84,23.727,0.345,23.706
E01032577,23.244,44.288,24.998,2.408,24.356
E01032579,28.315,83.398,31.508,6.047,29.599
E01032580,23.52,41.042,25.25,2.763,24.346
E01032581,23.295,40.417,24.475,2.152,23.832
E01032582,35.249,96.99,38.265,6.51,36.5
E01032583,34.673,54.778,35.967,2.131,35.488
E01032584,34.713,70.022,38.343,6.768,35.482
E01032623,20.798,48.235,21.879,1.891,21.457
E01032637,34.221,36.747,34.845,0.501,34.782
E01032638,32.579,35.146,33.572,0.468,33.637
E01032639,32.556,54.254,34.262,2.481,33.592
E01032640,34.986,63.322,38.595,4.721,37.155
E01032646,33.897,68.947,36.076,4.804,34.612
E01032719,33.87,78.734,41.751,9.988,37.61
E01032739,35.374,141.34,40.794,9.947,37.726
E01032740,36.947,155.457,42.401,12.318,38.696
E01032741,22.971,78.131,27.258,7.034,24.6
E01032742,21.868,67.647,24.841,4.909,23.405
E01032743,25.507,26.852,25.873,0.297,25.776
E01032744,25.718,65.613,28.313,4.177,26.943
E01032764,29.176,75.786,35.922,8.646,32.569
E01032765,30.223,67.917,35.334,7.4,32.581
E01032767,34.876,112.249,39.664,10.537,35.611
E01032768,32.464,68.351,39.246,8.099,36.203
E01032769,33.593,91.282,45.3,13.274,39.444
E01032770,29.313,30.353,29.604,0.267,29.484
E01032771,29.122,50.932,30.871,2.111,30.216
E01032772,29.433,39.394,29.895,0.757,29.709
E01032774,28.573,30.403,29.057,0.335,29.006
E01032775,28.99,30.179,29.368,0.201,29.412
E01032776,31.396,75.169,39.891,10.178,36.266
