MSOA21CD,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median
E02000577,25.01,39.016,26.303,1.679,25.86
E02000578,25.177,34.558,26.062,1.372,25.639
E02000579,25.188,45.321,26.832,2.378,26.022
E02000580,25.78,33.541,26.535,1.008,26.186
E02000581,25.542,34.444,26.287,1.108,25.914
E02000582,25.837,40.589,26.747,1.451,26.274
E02000583,25.551,41.696,26.565,1.898,25.99
E02000584,25.686,47.097,26.917,2.124,26.316
E02000585,25.648,49.595,26.912,2.179,26.212
E02000586,26.046,47.004,27.29,2.488,26.57
E02000587,25.735,44.373,27.051,1.946,26.426
E02000588,26.445,47.81,28.064,2.587,27.168
E02000589,26.037,42.004,27.609,2.753,26.75
E02000590,26.382,45.396,28.101,2.631,27.157
E02000591,26.191,48.938,28.482,3.138,27.169
E02000592,26.337,43.727,27.775,2.359,26.987
E02000593,25.965,40.053,27.373,1.888,26.738
E02000594,26.162,45.122,27.263,1.974,26.553
E02000595,26.278,40.143,27.321,1.847,26.665
E02000596,25.96,36.943,27.081,1.635,26.52
E02000597,25.774,44.172,27.784,2.473,26.905
E02000598,23.663,34.72,24.302,0.981,24.062
E02000599,23.832,44.27,24.391,1.108,24.035
E02000600,23.871,33.49,24.545,1.06,24.222
E02000601,23.791,35.292,24.388,1.073,24.125
E02000602,23.745,47.193,25.035,1.842,24.478
E02000603,23.719,31.102,24.219,0.813,24.016
E02000604,23.88,38.508,24.286,0.761,24.092
E02000605,23.655,31.887,24.068,0.623,23.937
E02000606,23.635,50.506,25.086,2.126,24.376
E02000607,23.664,36.148,23.948,0.656,23.801
E02000608,23.486,34.895,24.175,0.914,23.924
E02000609,23.653,42.318,24.663,1.652,24.125
E02000610,23.407,36.277,24.272,1.338,23.965
E02000611,23.628,36.533,24.181,1.366,23.807
E02000612,23.599,39.791,24.182,1.215,23.888
E02000613,23.396,38.755,24.207,1.246,23.851
E02000614,23.27,43.707,24.283,1.628,23.805
E02000615,23.347,41.94,24.134,1.52,23.699
E02000616,22.942,28.177,23.441,0.422,23.389
E02000617,22.632,31.445,23.137,0.744,22.935
E02000619,26.37,39.517,27.245,1.426,26.844
E02000620,26.397,42.269,27.598,1.998,26.89
E02000621,25.828,48.865,27.778,2.894,26.669
E02000622,25.746,43.541,27.141,1.859,26.538
E02000623,25.756,33.698,26.532,1.072,26.199
E02000624,25.822,36.144,26.57,1.215,26.211
E02000625,25.676,36.746,26.439,1.341,25.977
E02000626,25.594,32.851,26.056,0.66,25.858
E02000627,25.411,35.905,26.139,1.049,25.889
E02000628,25.648,42.239,26.705,1.902,26.092
E02000629,25.546,33.969,26.173,1.21,25.818
E02000630,25.585,38.031,26.592,1.624,26.009
E02000631,25.23,39.264,25.963,1.267,25.597
E02000632,25.344,40.506,25.996,1.299,25.657
E02000633,25.383,40.055,26.409,1.686,25.869
E02000634,25.225,39.903,26.428,1.645,25.871
E02000635,24.916,36.19,25.78,1.122,25.513
E02000636,25.208,38.36,25.921,1.349,25.545
E02000637,25.072,37.299,25.772,1.344,25.439
E02000638,25.206,36.624,25.952,1.558,25.495
E02000639,25.209,41.077,26.377,1.731,25.806
E02000640,25.264,37.453,25.887,1.018,25.639
E02000641,24.915,32.782,25.587,1.031,25.28
E02000642,24.805,37.228,25.555,1.214,25.17
E02000643,24.891,37.016,25.658,1.26,25.329
E02000644,24.823,32.27,25.368,0.877,25.105
E02000645,24.53,34.759,25.333,1.125,24.996
E02000646,24.741,43.462,25.577,1.558,25.127
E02000647,24.67,32.138,25.132,0.846,24.896
E02000648,24.5,30.874,24.987,0.759,24.768
E02000649,24.585,39.964,25.57,1.6,25.077
E02000650,24.455,30.625,24.918,0.76,24.697
E02000651,24.457,34.813,25.12,1.312,24.731
E02000652,24.388,31.092,24.77,0.662,24.613
E02006801,26.864,48.1,28.549,2.268,27.725
E02000653,25.068,33.398,25.577,0.75,25.414
E02000654,25.024,34.63,25.686,1.115,25.372
E02000655,25.159,44.142,25.705,1.261,25.422
E02000657,25.034,38.094,26.227,1.817,25.606
E02000658,25.029,41.919,26.119,1.773,25.502
E02000659,24.735,41.788,25.429,1.132,25.123
E02000660,24.847,33.965,25.538,1.008,25.26
E02000661,24.675,39.241,25.545,1.46,25.09
E02000662,24.702,30.795,25.234,0.56,25.095
E02000663,24.741,33.841,25.181,0.858,24.987
E02000665,24.568,34.237,25.086,0.955,24.838
E02000666,24.642,37.627,25.224,0.989,24.96
E02000667,24.597,37.858,25.242,1.141,24.95
E02000668,24.449,39.096,25.068,1.397,24.725
E02000669,24.518,37.72,25.093,1.141,24.807
E02000670,24.517,37.972,25.367,1.529,24.911
E02000671,24.596,37.544,25.119,1.065,24.841
E02000672,24.589,42.159,25.593,1.945,24.988
E02000673,24.616,36.372,25.168,1.01,24.858
E02000674,24.269,33.817,24.839,1.062,24.583
E02000675,24.09,43.357,24.806,1.257,24.465
E02000676,24.606,33.638,25.151,1.068,24.85
E02000677,24.185,37.763,24.784,1.168,24.522
E02000678,24.124,35.659,24.667,1.015,24.389
E02000679,24.367,32.639,24.872,0.776,24.678
E02000680,24.528,32.216,25.152,0.973,24.85
E02000681,24.252,39.519,24.776,1.093,24.491
