LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_mean_2001,HHI_mean_2002,HHI_mean_2003,HHI_mean_2004,HHI_mean_2005,HHI_mean_2006,HHI_mean_2007,HHI_mean_2008,HHI_mean_2009,HHI_mean_2010,HHI_mean_2011,HHI_mean_2012
E01002309,Havering 006A,E09000016,Havering,26640,26960,28180,29950,30540,32530,33180,35670,35780,37250,38700,39650
E01002310,Havering 006B,E09000016,Havering,25190,25440,26530,28140,28640,30440,31010,33290,33350,34680,36000,36840
E01002311,Havering 006C,E09000016,Havering,26340,26620,27770,29470,30010,31910,32500,34890,34960,36350,37720,38590
E01002312,Havering 001C,E09000016,Havering,25600,25950,27150,28900,29510,31470,32140,34600,34750,36220,37670,38620
E01002313,Havering 001D,E09000016,Havering,24840,25150,26290,27960,28530,30400,31030,33390,33530,34930,36330,37250
E01002314,Havering 004E,E09000016,Havering,24230,24510,25610,27240,27800,29630,30270,32590,32750,34150,35550,36480
E01002315,Havering 006D,E09000016,Havering,26290,26550,27680,29360,29880,31760,32330,34690,34750,36110,37460,38320
E01002316,Havering 004F,E09000016,Havering,24190,24310,25240,26680,27070,28690,29150,31220,31230,32420,33610,34360
E01002317,Havering 014C,E09000016,Havering,36750,37160,38770,41110,41810,44400,45160,48410,48440,50300,52130,53270
E01002318,Havering 014D,E09000016,Havering,34410,34810,36330,38550,39230,41680,42430,45520,45580,47360,49120,50230
E01002319,Havering 016A,E09000016,Havering,32550,32800,34110,36080,36610,38800,39400,42170,42150,43710,45260,46220
E01002320,Havering 021A,E09000016,Havering,34270,34690,36240,38500,39240,41760,42580,45760,45920,47800,49680,50910
E01002321,Havering 021B,E09000016,Havering,36880,36980,38260,40270,40660,42870,43320,46150,45900,47370,48820,49620
E01002322,Havering 021C,E09000016,Havering,34300,34590,36000,38100,38680,41010,41670,44620,44610,46280,47940,48960
E01002323,Havering 021D,E09000016,Havering,33810,34100,35480,37560,38130,40440,41100,44030,44040,45710,47370,48400
E01002324,Havering 021E,E09000016,Havering,32320,32490,33710,35570,36030,38110,38650,41320,41250,42750,44240,45160
E01002325,Havering 011C,E09000016,Havering,27890,28120,29270,31000,31500,33440,34020,36490,36540,37970,39400,40320
E01002326,Havering 005D,E09000016,Havering,29350,29650,30920,32800,33380,35490,36140,38810,38900,40460,42010,43010
E01002327,Havering 009A,E09000016,Havering,31150,31380,32630,34510,35020,37130,37720,40390,40390,41920,43430,44370
E01002328,Havering 009B,E09000016,Havering,31900,32190,33530,35520,36100,38320,38970,41780,41820,43440,45050,46070
E01002329,Havering 011D,E09000016,Havering,31030,31380,32750,34780,35430,37680,38410,41260,41370,43040,44700,45780
E01002330,Havering 011E,E09000016,Havering,30310,30570,31830,33710,34260,36370,36990,39660,39690,41230,42760,43730
E01002331,Havering 005E,E09000016,Havering,29610,29960,31300,33260,33900,36100,36820,39590,39740,41390,43030,44120
E01002332,Havering 009C,E09000016,Havering,30790,31060,32350,34270,34830,36970,37610,40330,40380,41950,43510,44500
E01002333,Havering 008A,E09000016,Havering,33940,34210,35570,37610,38150,40410,41010,43870,43810,45400,46960,47910
E01002334,Havering 008B,E09000016,Havering,35990,36350,37880,40140,40790,43280,44000,47140,47150,48930,50680,51760
E01002335,Havering 009D,E09000016,Havering,30320,30620,31930,33870,34470,36650,37330,40090,40200,41830,43450,44510
E01002336,Havering 008C,E09000016,Havering,34200,34430,35760,37780,38290,40530,41100,43940,43850,45430,46980,47920
E01002337,Havering 012A,E09000016,Havering,42040,42070,43440,45600,45910,48270,48600,51580,51100,52520,53890,54520
E01002338,Havering 009E,E09000016,Havering,33170,33490,34890,36980,37590,39920,40610,43560,43610,45310,46990,48060
E01002339,Havering 008D,E09000016,Havering,36930,37270,38790,41060,41690,44190,44880,48050,48010,49790,51540,52610
E01002340,Havering 009F,E09000016,Havering,34690,34960,36360,38460,39030,41370,42010,44970,44950,46620,48270,49280
E01002341,Havering 008E,E09000016,Havering,34620,34870,36240,38300,38830,41110,41700,44580,44500,46100,47670,48610
E01002342,Havering 030A,E09000016,Havering,29570,29620,30650,32260,32600,34420,34830,37160,37030,38300,39570,40310
E01002343,Havering 029A,E09000016,Havering,30560,30920,32290,34290,34940,37170,37880,40680,40790,42420,44050,45090
E01002344,Havering 029B,E09000016,Havering,30090,30380,31650,33550,34110,36220,36850,39510,39550,41080,42600,43550
E01002345,Havering 030B,E09000016,Havering,28030,28220,29330,31020,31490,33390,33940,36370,36400,37810,39210,40110
E01002346,Havering 030C,E09000016,Havering,28790,29010,30180,31950,32460,34450,35040,37570,37610,39080,40540,41470
E01002347,Havering 030D,E09000016,Havering,29570,29790,30980,32780,33280,35300,35880,38450,38470,39940,41410,42330
E01002348,Havering 029C,E09000016,Havering,30280,30560,31840,33730,34280,36380,37000,39660,39680,41190,42690,43630
E01002349,Havering 029D,E09000016,Havering,30710,30980,32270,34180,34730,36850,37470,40150,40170,41690,43200,44140
E01002350,Havering 016B,E09000016,Havering,30930,31140,32370,34220,34700,36750,37290,39890,39830,41280,42710,43580
E01002351,Havering 016C,E09000016,Havering,32670,32930,34250,36240,36770,38970,39560,42340,42300,43860,45400,46340
E01002352,Havering 016D,E09000016,Havering,32500,32820,34200,36240,36840,39100,39750,42600,42620,44240,45850,46850
E01002353,Havering 013B,E09000016,Havering,33320,33470,34710,36620,37060,39190,39700,42390,42260,43720,45160,46000
E01002354,Havering 012B,E09000016,Havering,36440,36790,38320,40580,41200,43690,44370,47490,47450,49180,50880,51900
E01002355,Havering 014E,E09000016,Havering,35800,36130,37620,39820,40420,42850,43510,46560,46510,48200,49870,50880
E01002356,Havering 013C,E09000016,Havering,29130,29200,30220,31830,32170,33970,34380,36690,36570,37830,39080,39820
E01002358,Havering 016E,E09000016,Havering,32420,32670,33980,35930,36460,38630,39210,41960,41910,43450,44970,45890
E01002359,Havering 020A,E09000016,Havering,33270,33650,35110,37280,37960,40370,41140,44170,44280,46060,47820,48940
E01002360,Havering 020B,E09000016,Havering,31910,32010,33140,34910,35290,37270,37730,40250,40110,41480,42830,43610
E01002361,Havering 020C,E09000016,Havering,30960,31170,32390,34250,34740,36820,37400,40040,40030,41530,43020,43950
E01002362,Havering 022D,E09000016,Havering,35630,35920,37380,39550,40150,42560,43230,46280,46260,47980,49680,50720
E01002363,Havering 020D,E09000016,Havering,30600,30820,32050,33910,34420,36500,37100,39750,39770,41290,42800,43750
E01002364,Havering 023C,E09000016,Havering,34440,34690,36070,38130,38670,40960,41570,44460,44400,46010,47600,48560
E01002365,Havering 023D,E09000016,Havering,31340,31690,33060,35080,35710,37960,38660,41510,41600,43250,44900,45960
E01002366,Havering 023E,E09000016,Havering,32400,32770,34200,36310,36970,39310,40040,42980,43080,44790,46490,47580
E01002367,Havering 020E,E09000016,Havering,35170,35280,36540,38490,38900,41070,41550,44310,44120,45600,47050,47870
E01002368,Havering 028A,E09000016,Havering,25610,25910,27070,28770,29340,31250,31900,34320,34460,35910,37360,38320
E01002369,Havering 028B,E09000016,Havering,28230,28530,29770,31600,32180,34230,34880,37460,37550,39070,40570,41540
E01002370,Havering 028C,E09000016,Havering,27630,27880,29050,30780,31300,33250,33830,36290,36330,37750,39150,40040
E01002371,Havering 028D,E09000016,Havering,28210,28540,29820,31690,32300,34380,35070,37690,37810,39360,40890,41880
E01002372,Havering 027C,E09000016,Havering,30110,30340,31550,33370,33880,35920,36490,39070,39070,40530,41990,42890
E01002373,Havering 027D,E09000016,Havering,29050,29310,30540,32360,32900,34940,35560,38140,38200,39690,41180,42120
E01002374,Havering 027E,E09000016,Havering,28110,28470,29770,31660,32310,34430,35160,37830,38000,39610,41210,42270
E01002375,Havering 028E,E09000016,Havering,27520,27790,28970,30730,31280,33250,33860,36350,36430,37880,39330,40260
E01002376,Havering 012C,E09000016,Havering,38550,39090,40900,43490,44360,47230,48170,51760,51910,54010,56090,57430
E01002377,Havering 010D,E09000016,Havering,33750,34060,35470,37560,38160,40490,41170,44110,44140,45820,47500,48550
E01002378,Havering 010E,E09000016,Havering,33890,34220,35660,37780,38400,40770,41470,44470,44520,46240,47960,49050
E01002379,Havering 012D,E09000016,Havering,35270,35700,37270,39570,40290,42840,43640,46840,46950,48820,50680,51880
E01002380,Havering 012E,E09000016,Havering,31400,31960,33580,35860,36730,39270,40230,43410,43730,45700,47660,49000
E01002381,Havering 012F,E09000016,Havering,33780,34240,35810,38080,38840,41360,42200,45380,45550,47430,49310,50540
E01002382,Havering 014F,E09000016,Havering,34650,35150,36780,39130,39920,42520,43380,46640,46800,48720,50620,51860
E01002383,Havering 010F,E09000016,Havering,34980,35370,36890,39130,39810,42300,43060,46190,46260,48070,49860,51000
E01002384,Havering 019D,E09000016,Havering,36320,37100,39080,41820,42900,45910,47040,50770,51130,53400,55650,57170
E01002385,Havering 024A,E09000016,Havering,37750,38560,40600,43420,44490,47550,48660,52430,52710,54960,57180,58640
E01002386,Havering 022E,E09000016,Havering,35330,35790,37400,39750,40520,43140,44010,47310,47480,49440,51400,52680
E01002387,Havering 024B,E09000016,Havering,39880,40750,42920,45910,47050,50310,51480,55490,55790,58170,60530,62080
E01002388,Havering 024C,E09000016,Havering,41000,41800,43930,46890,47950,51160,52240,56180,56370,58670,60920,62360
E01002389,Havering 024D,E09000016,Havering,40060,40820,42870,45730,46740,49840,50860,54670,54830,57020,59180,60540
E01002390,Havering 024E,E09000016,Havering,41810,42620,44780,47790,48860,52120,53210,57210,57390,59700,61970,63420
E01002391,Havering 018E,E09000016,Havering,35010,35340,36810,39010,39670,42140,42890,46020,46100,47930,49750,50920
E01032741,Havering 013E,E09000016,Havering,30960,31140,32330,34150,34610,36650,37190,39780,39720,41170,42610,43480
E01032742,Havering 013F,E09000016,Havering,32940,33040,34220,36050,36450,38490,38950,41550,41400,42800,44190,44990
E01002392,Hillingdon 020A,E09000017,Hillingdon,26350,26480,27470,29010,29400,31130,31590,33810,33780,35040,36300,37080
E01002393,Hillingdon 020B,E09000017,Hillingdon,27600,27730,28760,30360,30750,32540,33010,35300,35250,36540,37820,38610
E01002394,Hillingdon 021A,E09000017,Hillingdon,29800,29880,30930,32560,32870,34670,35040,37330,37130,38330,39520,40180
E01002395,Hillingdon 021B,E09000017,Hillingdon,31180,31300,32430,34160,34520,36440,36840,39270,39080,40370,41630,42340
E01002396,Hillingdon 026A,E09000017,Hillingdon,28150,28290,29350,30980,31370,33190,33650,35960,35880,37160,38420,39170
E01002397,Hillingdon 021C,E09000017,Hillingdon,29160,29170,30130,31640,31890,33560,33860,36010,35760,36860,37950,38540
E01002398,Hillingdon 021D,E09000017,Hillingdon,29870,29990,31080,32750,33100,34950,35350,37690,37530,38770,40000,40700
E01002399,Hillingdon 021E,E09000017,Hillingdon,29080,29330,30520,32310,32790,34760,35310,37790,37760,39160,40530,41370
E01002400,Hillingdon 024A,E09000017,Hillingdon,29420,29530,30590,32240,32600,34420,34840,37160,37020,38270,39500,40210
E01002401,Hillingdon 024B,E09000017,Hillingdon,27840,27980,29030,30640,31040,32840,33290,35580,35510,36790,38050,38810
E01002402,Hillingdon 024C,E09000017,Hillingdon,28090,28200,29220,30800,31160,32930,33350,35610,35500,36740,37960,38680
E01002403,Hillingdon 024D,E09000017,Hillingdon,27660,27780,28800,30370,30740,32490,32920,35150,35060,36280,37500,38220
E01002404,Hillingdon 024E,E09000017,Hillingdon,27220,27290,28260,29770,30090,31780,32170,34340,34220,35400,36580,37270
E01002405,Hillingdon 027A,E09000017,Hillingdon,28050,28210,29280,30920,31320,33150,33620,35940,35870,37160,38430,39190
E01002406,Hillingdon 027B,E09000017,Hillingdon,28650,28680,29650,31180,31460,33160,33490,35670,35470,36610,37740,38370
E01002407,Hillingdon 030A,E09000017,Hillingdon,28240,28310,29300,30840,31150,32870,33230,35430,35270,36440,37600,38270
E01002408,Hillingdon 019A,E09000017,Hillingdon,29830,29800,30740,32270,32500,34210,34510,36710,36470,37620,38750,39370
E01002409,Hillingdon 019B,E09000017,Hillingdon,29580,29690,30760,32420,32790,34640,35080,37460,37350,38650,39940,40700
E01002410,Hillingdon 017A,E09000017,Hillingdon,32990,33110,34300,36140,36520,38540,38970,41540,41350,42710,44050,44810
E01002411,Hillingdon 022A,E09000017,Hillingdon,28470,28700,29860,31600,32080,34000,34540,36980,36960,38330,39690,40530
E01002412,Hillingdon 017B,E09000017,Hillingdon,33670,33900,35210,37190,37670,39850,40390,43140,43010,44510,45970,46820
E01002413,Hillingdon 022B,E09000017,Hillingdon,28460,28640,29760,31450,31880,33750,34240,36610,36550,37870,39170,39950
E01002414,Hillingdon 015A,E09000017,Hillingdon,33650,33710,34840,36630,36940,38920,39300,41830,41570,42890,44190,44900
E01002415,Hillingdon 010A,E09000017,Hillingdon,35270,35920,37720,40250,41150,43920,44870,48290,48500,50520,52520,53830
E01002416,Hillingdon 008A,E09000017,Hillingdon,35630,36100,37720,40060,40800,43380,44170,47390,47470,49320,51150,52310
E01002417,Hillingdon 008B,E09000017,Hillingdon,36830,37380,39130,41630,42460,45200,46090,49510,49630,51620,53580,54830
E01002418,Hillingdon 006A,E09000017,Hillingdon,34850,35430,37150,39580,40430,43120,44030,47370,47560,49540,51510,52790
E01002419,Hillingdon 006B,E09000017,Hillingdon,36030,36690,38530,41110,42050,44880,45870,49390,49620,51710,53770,55120
E01002420,Hillingdon 008C,E09000017,Hillingdon,35690,36120,37700,40010,40700,43230,43980,47150,47180,48980,50760,51870
E01002421,Hillingdon 008D,E09000017,Hillingdon,35440,35980,37680,40110,40930,43600,44480,47810,47960,49920,51860,53110
E01002422,Hillingdon 018A,E09000017,Hillingdon,31900,32070,33260,35090,35510,37540,38020,40590,40460,41850,43230,44040
E01002423,Hillingdon 018B,E09000017,Hillingdon,33140,33350,34630,36560,37030,39170,39700,42410,42300,43770,45230,46100
E01002424,Hillingdon 018C,E09000017,Hillingdon,32340,32530,33770,35650,36100,38180,38690,41320,41200,42640,44050,44890
E01002425,Hillingdon 018D,E09000017,Hillingdon,29640,29800,30920,32630,33050,34960,35440,37870,37790,39150,40490,41310
E01002426,Hillingdon 021F,E09000017,Hillingdon,30630,30770,31890,33630,34010,35920,36360,38790,38640,39950,41240,41990
E01002427,Hillingdon 018E,E09000017,Hillingdon,31770,31970,33210,35070,35530,37600,38110,40730,40640,42070,43490,44340
E01002428,Hillingdon 018F,E09000017,Hillingdon,32020,32300,33620,35590,36130,38300,38910,41650,41620,43170,44690,45620
E01002429,Hillingdon 019C,E09000017,Hillingdon,29060,29260,30420,32180,32660,34630,35190,37710,37730,39180,40630,41550
E01002430,Hillingdon 007A,E09000017,Hillingdon,43640,44200,46150,48970,49790,52830,53680,57460,57390,59470,61500,62700
E01002431,Hillingdon 006C,E09000017,Hillingdon,41280,41840,43730,46440,47280,50240,51110,54790,54810,56880,58910,60150
E01002432,Hillingdon 006D,E09000017,Hillingdon,38570,39120,40920,43500,44330,47140,48010,51510,51580,53570,55540,56760
