LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_mean_2001,HHI_mean_2002,HHI_mean_2003,HHI_mean_2004,HHI_mean_2005,HHI_mean_2006,HHI_mean_2007,HHI_mean_2008,HHI_mean_2009,HHI_mean_2010,HHI_mean_2011,HHI_mean_2012
E01000474,Brent 026B,E09000005,Brent,28190,28280,29290,30880,31250,33030,33470,35770,35690,36960,38230,39000
E01000475,Brent 029C,E09000005,Brent,29590,29710,30810,32500,32890,34780,35240,37650,37570,38900,40220,41020
E01000476,Brent 026C,E09000005,Brent,28790,28970,30110,31830,32300,34240,34790,37260,37260,38680,40090,40970
E01000477,Brent 026D,E09000005,Brent,28540,28550,29500,31010,31300,33010,33380,35590,35450,36650,37860,38580
E01000478,Brent 029D,E09000005,Brent,28390,28620,29790,31550,32060,34040,34630,37140,37200,38660,40120,41060
E01000479,Brent 009A,E09000005,Brent,35580,35800,37170,39270,39800,42130,42730,45690,45610,47250,48870,49840
E01000480,Brent 006A,E09000005,Brent,37720,38050,39590,41890,42480,44980,45620,48740,48610,50290,51940,52880
E01000481,Brent 009B,E09000005,Brent,28760,28940,30070,31800,32260,34200,34740,37210,37220,38630,40040,40930
E01000482,Brent 009C,E09000005,Brent,26940,27110,28170,29790,30240,32070,32610,34950,34990,36350,37710,38590
E01000483,Brent 009D,E09000005,Brent,26080,26210,27210,28740,29150,30890,31380,33610,33630,34920,36210,37040
E01000484,Brent 006B,E09000005,Brent,28240,28480,29650,31390,31880,33810,34360,36800,36800,38190,39560,40420
E01000485,Brent 006C,E09000005,Brent,29030,29400,30720,32650,33270,35400,36080,38750,38850,40400,41950,42940
E01000486,Brent 006D,E09000005,Brent,35420,35640,36980,39030,39490,41720,42220,45020,44820,46300,47740,48550
E01000487,Brent 006E,E09000005,Brent,33410,33520,34710,36530,36880,38880,39260,41780,41510,42800,44050,44720
E01000488,Brent 022A,E09000005,Brent,32420,32930,34510,36770,37560,40050,40910,44020,44210,46060,47900,49120
E01000489,Brent 030A,E09000005,Brent,35200,35710,37360,39750,40550,43200,44080,47400,47580,49570,51540,52850
E01000490,Brent 023A,E09000005,Brent,35810,36120,37590,39770,40360,42760,43410,46440,46370,48060,49730,50740
E01000491,Brent 030B,E09000005,Brent,35090,35490,37030,39280,39960,42450,43200,46330,46380,48180,49970,51100
E01000492,Brent 030C,E09000005,Brent,36430,37040,38840,41410,42330,45180,46190,49760,50030,52190,54350,55800
E01000493,Brent 030D,E09000005,Brent,37270,37730,39410,41840,42590,45260,46060,49400,49450,51350,53220,54390
E01000494,Brent 023B,E09000005,Brent,34830,35080,36470,38540,39060,41330,41900,44760,44640,46190,47720,48600
E01000495,Brent 023C,E09000005,Brent,32060,32370,33720,35710,36280,38500,39130,41920,41930,43510,45090,46070
E01000497,Brent 011A,E09000005,Brent,29800,29880,30920,32560,32890,34720,35110,37440,37280,38530,39760,40470
E01000498,Brent 010B,E09000005,Brent,27120,27270,28300,29890,30290,32080,32550,34820,34790,36070,37340,38140
E01000499,Brent 011B,E09000005,Brent,28090,28210,29240,30850,31240,33040,33500,35810,35750,37050,38350,39140
E01000501,Brent 011C,E09000005,Brent,27320,27430,28440,30000,30370,32120,32550,34790,34720,35970,37210,37970
E01000502,Brent 011D,E09000005,Brent,30590,30610,31620,33230,33510,35300,35640,37930,37700,38890,40070,40720
E01000503,Brent 011E,E09000005,Brent,29790,29940,31070,32800,33220,35140,35630,38080,38000,39360,40710,41530
E01000504,Brent 018A,E09000005,Brent,32890,33300,34780,36920,37570,39900,40590,43510,43520,45170,46790,47790
E01000505,Brent 018B,E09000005,Brent,33120,33450,34850,36910,37480,39730,40340,43150,43090,44640,46160,47070
E01000506,Brent 014A,E09000005,Brent,28640,28540,29360,30740,30880,32420,32630,34630,34340,35340,36330,36850
E01000507,Brent 018C,E09000005,Brent,33000,33350,34770,36840,37430,39690,40310,43130,43080,44630,46160,47060
E01000508,Brent 025A,E09000005,Brent,25500,25580,26510,27950,28280,29890,30270,32320,32230,33350,34450,35110
E01000509,Brent 014B,E09000005,Brent,30460,30340,31190,32630,32750,34360,34540,36620,36260,37280,38270,38760
E01000510,Brent 014C,E09000005,Brent,30030,30010,30970,32520,32760,34480,34780,36990,36740,37880,39010,39620
E01000511,Brent 014D,E09000005,Brent,30250,30340,31420,33100,33460,35340,35760,38160,38020,39320,40610,41370
E01000512,Brent 018D,E09000005,Brent,34090,34420,35840,37940,38510,40790,41390,44250,44160,45710,47240,48140
E01000513,Brent 002A,E09000005,Brent,31850,32150,33480,35470,36040,38250,38890,41680,41710,43310,44900,45900
E01000514,Brent 002B,E09000005,Brent,31310,31670,33070,35110,35760,38030,38760,41630,41740,43430,45110,46210
E01000515,Brent 003A,E09000005,Brent,28780,28890,29950,31590,31990,33850,34330,36730,36700,38080,39450,40330
E01000516,Brent 002C,E09000005,Brent,31710,31910,33130,34990,35460,37530,38060,40700,40630,42100,43560,44460
E01000517,Brent 003B,E09000005,Brent,33790,34050,35410,37460,38020,40320,40980,43900,43920,45600,47270,48330
E01000518,Brent 005A,E09000005,Brent,29920,30260,31600,33560,34190,36380,37090,39850,39980,41620,43250,44320
E01000519,Brent 005B,E09000005,Brent,29440,29730,30990,32860,33430,35520,36170,38820,38910,40480,42040,43070
E01000520,Brent 002D,E09000005,Brent,30890,31080,32280,34100,34560,36580,37110,39690,39630,41080,42510,43400
E01000521,Brent 025B,E09000005,Brent,24770,24760,25560,26850,27080,28530,28810,30670,30500,31490,32470,33020
E01000522,Brent 025C,E09000005,Brent,25720,25940,27010,28610,29070,30860,31380,33630,33650,34940,36210,37000
E01000523,Brent 031A,E09000005,Brent,26570,26680,27670,29190,29550,31240,31650,33810,33710,34890,36050,36740
E01000524,Brent 031B,E09000005,Brent,25670,25720,26620,28020,28310,29880,30210,32210,32060,33120,34170,34760
E01000525,Brent 031C,E09000005,Brent,26410,26450,27360,28780,29060,30650,30980,33010,32850,33930,34990,35590
E01000526,Brent 025D,E09000005,Brent,23470,23720,24760,26290,26780,28500,29050,31220,31310,32590,33860,34690
E01000527,Brent 025E,E09000005,Brent,25320,25420,26350,27790,28130,29740,30130,32180,32090,33210,34310,34970
E01000528,Brent 025F,E09000005,Brent,23640,23860,24880,26390,26870,28560,29100,31240,31320,32570,33820,34630
E01000530,Brent 033A,E09000005,Brent,33510,33980,35540,37790,38520,40990,41760,44830,44920,46690,48430,49530
E01000531,Brent 033B,E09000005,Brent,31150,31490,32840,34830,35420,37620,38260,41020,41050,42630,44190,45170
E01000532,Brent 033C,E09000005,Brent,31160,31760,33380,35670,36550,39090,40030,43200,43500,45440,47370,48680
E01000533,Brent 031E,E09000005,Brent,27960,28060,29070,30640,30980,32730,33120,35340,35210,36410,37580,38270
E01000534,Brent 033D,E09000005,Brent,32960,33350,34800,36920,37560,39890,40580,43490,43510,45170,46800,47810
E01000535,Brent 031F,E09000005,Brent,30360,30580,31800,33640,34130,36170,36720,39290,39250,40690,42100,42970
E01000536,Brent 004A,E09000005,Brent,40000,40290,41860,44230,44810,47410,48060,51350,51230,53040,54840,55910
E01000538,Brent 004B,E09000005,Brent,42140,42450,44100,46590,47190,49910,50570,54010,53840,55710,57540,58610
E01000539,Brent 004C,E09000005,Brent,38060,38370,39910,42210,42810,45350,46020,49230,49170,50970,52750,53840
E01000540,Brent 004D,E09000005,Brent,41750,41910,43390,45680,46120,48620,49100,52270,51950,53590,55180,56040
E01000541,Brent 004E,E09000005,Brent,34380,34800,36340,38590,39290,41790,42580,45730,45860,47720,49570,50790
E01000543,Brent 003E,E09000005,Brent,33530,33730,35030,37000,37510,39720,40310,43130,43090,44690,46270,47250
E01000544,Brent 034A,E09000005,Brent,25980,26140,27170,28750,29190,30960,31480,33750,33780,35090,36400,37240
E01000545,Brent 028A,E09000005,Brent,31180,31720,33270,35470,36230,38620,39400,42340,42450,44140,45800,46850
E01000546,Brent 028B,E09000005,Brent,31350,32020,33740,36120,37050,39650,40620,43820,44110,46040,47950,49230
E01000547,Brent 028C,E09000005,Brent,31130,31660,33220,35420,36190,38580,39380,42330,42450,44170,45850,46920
E01000548,Brent 028D,E09000005,Brent,27920,28590,30190,32400,33320,35740,36700,39690,40040,41880,43710,44970
E01000549,Brent 028E,E09000005,Brent,34270,34980,36820,39380,40350,43130,44130,47560,47810,49840,51850,53160
E01000550,Brent 034B,E09000005,Brent,26590,26920,28150,29940,30570,32590,33300,35860,36040,37590,39140,40170
E01000551,Brent 034C,E09000005,Brent,24310,24440,25380,26840,27240,28890,29370,31490,31520,32760,34000,34790
E01000552,Brent 034D,E09000005,Brent,23690,23840,24790,26240,26670,28330,28840,30970,31050,32320,33600,34450
E01000553,Brent 015A,E09000005,Brent,31850,31820,32810,34410,34620,36400,36670,38950,38640,39790,40930,41520
E01000554,Brent 015B,E09000005,Brent,32870,32830,33840,35480,35690,37500,37760,40080,39740,40900,42030,42610
E01000555,Brent 015C,E09000005,Brent,38110,38350,39810,42010,42530,44950,45520,48580,48390,50020,51620,52530
E01000556,Brent 015D,E09000005,Brent,31800,31690,32590,34090,34220,35880,36060,38210,37820,38850,39860,40350
E01000557,Brent 015E,E09000005,Brent,32450,32580,33760,35570,35960,37960,38400,40950,40770,42130,43470,44240
E01000558,Brent 015F,E09000005,Brent,34710,35130,36700,38970,39700,42220,43020,46190,46300,48160,50000,51200
E01000559,Brent 018E,E09000005,Brent,34820,35160,36620,38770,39350,41680,42290,45200,45090,46660,48200,49100
E01000560,Brent 023D,E09000005,Brent,37480,37770,39260,41500,42060,44510,45110,48190,48050,49720,51360,52310
E01000561,Brent 023E,E09000005,Brent,34340,34490,35750,37670,38080,40190,40640,43300,43080,44480,45850,46610
E01000562,Brent 008A,E09000005,Brent,42010,42330,43980,46460,47040,49730,50360,53730,53520,55300,57040,58010
E01000563,Brent 008B,E09000005,Brent,39940,40220,41780,44110,44660,47210,47810,51030,50840,52560,54250,55210
E01000564,Brent 013A,E09000005,Brent,31880,32080,33310,35190,35670,37760,38310,40970,40910,42400,43880,44780
E01000565,Brent 013B,E09000005,Brent,32770,33040,34390,36410,36980,39240,39890,42750,42780,44420,46060,47090
E01000566,Brent 008C,E09000005,Brent,36530,36860,38370,40600,41200,43650,44310,47410,47350,49080,50790,51830
E01000567,Brent 016A,E09000005,Brent,31500,31850,33230,35270,35920,38200,38930,41810,41920,43630,45320,46420
E01000568,Brent 008D,E09000005,Brent,39320,39460,40840,42960,43350,45680,46120,49070,48760,50290,51780,52600
E01000569,Brent 008E,E09000005,Brent,38580,38950,40560,42930,43570,46170,46870,50140,50070,51880,53670,54760
E01000570,Brent 012A,E09000005,Brent,29230,29310,30340,31950,32290,34090,34500,36810,36680,37940,39200,39950
E01000571,Brent 012B,E09000005,Brent,34290,34430,35680,37600,38020,40150,40620,43330,43160,44610,46040,46860
E01000572,Brent 007A,E09000005,Brent,34410,34750,36210,38370,38990,41370,42050,45050,45060,46760,48440,49490
E01000573,Brent 007B,E09000005,Brent,32640,32950,34320,36350,36920,39160,39800,42620,42620,44220,45800,46780
E01000574,Brent 007C,E09000005,Brent,34360,34570,35900,37900,38370,40580,41100,43890,43750,45250,46740,47600
E01000575,Brent 007D,E09000005,Brent,33560,33720,34970,36870,37300,39400,39870,42540,42370,43790,45200,46010
E01000576,Brent 012C,E09000005,Brent,32740,33050,34420,36460,37040,39310,39970,42830,42850,44490,46120,47140
E01000577,Brent 007E,E09000005,Brent,30620,30630,31620,33200,33440,35200,35500,37750,37490,38650,39790,40410
E01000578,Brent 012D,E09000005,Brent,31390,31540,32710,34510,34930,36930,37410,39960,39860,41270,42660,43500
E01000579,Brent 032A,E09000005,Brent,33580,34100,35720,38040,38830,41390,42240,45420,45590,47470,49340,50550
E01000580,Brent 032B,E09000005,Brent,38050,38700,40590,43270,44220,47180,48190,51870,52100,54290,56470,57900
E01000581,Brent 030E,E09000005,Brent,37890,38740,40850,43780,45000,48280,49620,53730,54310,56950,59610,61520
E01000582,Brent 032C,E09000005,Brent,38730,39780,42130,45340,46780,50370,51930,56400,57150,60080,63030,65180
E01000583,Brent 032D,E09000005,Brent,35930,36400,38040,40400,41150,43740,44530,47770,47830,49680,51510,52660
E01000584,Brent 033E,E09000005,Brent,33550,34290,36150,38730,39790,42660,43810,47390,47840,50100,52370,53960
E01000585,Brent 033F,E09000005,Brent,35130,35570,37170,39470,40200,42730,43510,46680,46740,48560,50360,51500
E01000586,Brent 032E,E09000005,Brent,31570,32110,33680,35910,36710,39180,40040,43120,43330,45170,47000,48220
E01000587,Brent 001A,E09000005,Brent,32440,32580,33780,35630,36050,38110,38610,41250,41140,42590,44030,44890
E01000588,Brent 002E,E09000005,Brent,30800,30920,32050,33780,34170,36100,36540,39000,38870,40200,41530,42300
E01000589,Brent 001B,E09000005,Brent,31270,31580,32910,34880,35470,37670,38330,41110,41170,42780,44390,45410
E01000590,Brent 001C,E09000005,Brent,31980,32250,33560,35520,36070,38260,38890,41660,41680,43270,44850,45840
E01000591,Brent 003F,E09000005,Brent,31740,31720,32720,34350,34600,36420,36750,39110,38860,40100,41310,41990
E01000592,Brent 001D,E09000005,Brent,33610,33680,34820,36630,36970,38990,39400,41980,41770,43140,44500,45270
E01000593,Brent 001E,E09000005,Brent,31360,31580,32830,34710,35210,37320,37890,40560,40540,42060,43560,44490
E01000594,Brent 001F,E09000005,Brent,30990,31160,32330,34140,34580,36590,37110,39680,39610,41040,42470,43340
E01000595,Brent 027A,E09000005,Brent,23820,23950,24880,26290,26660,28240,28660,30650,30610,31710,32800,33460
E01000596,Brent 021A,E09000005,Brent,22810,22960,23870,25260,25640,27190,27620,29580,29570,30670,31750,32420
E01000599,Brent 027D,E09000005,Brent,23180,23590,24780,26480,27140,29040,29760,32120,32360,33800,35230,36200
E01000600,Brent 027E,E09000005,Brent,23760,24030,25100,26670,27190,28940,29510,31710,31810,33100,34370,35190
E01000601,Brent 021B,E09000005,Brent,23630,23920,25000,26580,27120,28890,29480,31710,31830,33150,34460,35320
E01000602,Brent 021C,E09000005,Brent,23140,23380,24400,25910,26400,28090,28630,30760,30850,32100,33340,34150
E01000603,Brent 021D,E09000005,Brent,26090,26090,26940,28310,28540,30060,30340,32280,32070,33070,34050,34580
E01000604,Brent 021E,E09000005,Brent,23100,23300,24270,25720,26160,27790,28280,30330,30380,31560,32740,33490
E01000605,Brent 021F,E09000005,Brent,22970,23150,24100,25530,25950,27560,28030,30060,30090,31250,32410,33140
E01000606,Brent 016B,E09000005,Brent,29090,29340,30560,32370,32910,34950,35570,38160,38220,39740,41250,42230
E01000607,Brent 013C,E09000005,Brent,30610,30900,32190,34110,34680,36820,37470,40200,40260,41850,43430,44450
E01000608,Brent 013D,E09000005,Brent,30860,30880,31890,33500,33770,35570,35900,38210,37980,39180,40370,41030
E01000609,Brent 016C,E09000005,Brent,30420,30540,31660,33390,33780,35720,36190,38670,38580,39960,41340,42170
E01000610,Brent 019A,E09000005,Brent,29560,29760,30930,32700,33170,35160,35700,38230,38210,39650,41080,41970
E01000611,Brent 016D,E09000005,Brent,27570,27900,29150,30980,31600,33670,34380,37010,37200,38810,40430,41540
E01000612,Brent 019B,E09000005,Brent,28380,28660,29880,31690,32250,34280,34920,37490,37590,39110,40630,41620
E01000613,Brent 013E,E09000005,Brent,31210,31260,32330,34010,34340,36220,36620,39040,38870,40190,41490,42260
E01000615,Brent 017B,E09000005,Brent,29000,29290,30540,32380,32940,35000,35630,38230,38300,39810,41320,42290
E01000616,Brent 020A,E09000005,Brent,30230,30330,31410,33090,33460,35330,35760,38160,38030,39330,40620,41380
E01000617,Brent 017C,E09000005,Brent,29990,30100,31190,32880,33260,35150,35600,38010,37900,39220,40530,41300
E01000618,Brent 017D,E09000005,Brent,29900,30030,31140,32850,33250,35150,35620,38050,37950,39280,40610,41400
E01000619,Brent 017E,E09000005,Brent,29790,29960,31110,32870,33310,35270,35780,38270,38220,39610,40990,41830
E01000620,Brent 020B,E09000005,Brent,29050,29280,30460,32250,32750,34750,35330,37870,37900,39360,40820,41750
E01000621,Brent 020C,E09000005,Brent,29510,29640,30740,32440,32850,34750,35230,37650,37570,38920,40260,41070
E01000622,Brent 010D,E09000005,Brent,27980,28010,28960,30460,30750,32430,32790,34950,34800,35970,37140,37820
E01000623,Brent 005C,E09000005,Brent,31470,31660,32880,34730,35190,37250,37770,40370,40290,41730,43140,43990
E01000624,Brent 005D,E09000005,Brent,30440,30660,31870,33710,34190,36230,36780,39350,39310,40750,42180,43050
E01000625,Brent 009E,E09000005,Brent,30170,30340,31490,33260,33710,35700,36230,38770,38740,40170,41610,42500
E01000626,Brent 010E,E09000005,Brent,25950,26040,26980,28450,28800,30460,30880,33010,32960,34170,35370,36120
E01000627,Brent 014E,E09000005,Brent,26850,27030,28090,29700,30140,31960,32480,34800,34820,36170,37510,38370
E01000628,Brent 014F,E09000005,Brent,29140,29080,29970,31430,31620,33260,33520,35640,35390,36480,37570,38170
E01000629,Brent 005E,E09000005,Brent,29120,29380,30590,32390,32910,34930,35510,38050,38070,39530,40980,41890
E01000630,Brent 026E,E09000005,Brent,28030,28090,29070,30610,30940,32670,33070,35290,35170,36390,37590,38300
E01000631,Brent 019C,E09000005,Brent,29350,29560,30750,32530,33020,35020,35580,38110,38120,39560,40990,41890
E01000632,Brent 029E,E09000005,Brent,28380,28540,29630,31300,31730,33600,34110,36500,36470,37820,39170,40010
E01000633,Brent 019D,E09000005,Brent,27630,27820,28920,30580,31040,32920,33450,35830,35850,37220,38590,39450
E01000634,Brent 019E,E09000005,Brent,27730,27950,29090,30800,31300,33220,33790,36240,36280,37700,39110,40020
E01000635,Brent 020D,E09000005,Brent,28310,28430,29470,31080,31460,33260,33710,36020,35940,37220,38490,39260
E01000636,Brent 020E,E09000005,Brent,29160,29260,30320,31970,32340,34180,34620,36970,36870,38160,39440,40200
E01000637,Brent 022B,E09000005,Brent,29730,29930,31100,32860,33300,35240,35720,38160,38070,39400,40720,41510
E01000638,Brent 024A,E09000005,Brent,27210,27200,28070,29490,29730,31320,31620,33670,33480,34570,35650,36260
E01000639,Brent 022C,E09000005,Brent,30850,31140,32430,34340,34870,36970,37540,40180,40130,41600,43040,43920
E01000640,Brent 024B,E09000005,Brent,27030,27040,27940,29380,29650,31260,31590,33670,33510,34620,35720,36360
E01000641,Brent 024C,E09000005,Brent,27910,28020,29040,30630,30990,32770,33200,35470,35390,36650,37900,38660
E01000642,Brent 022D,E09000005,Brent,30160,30400,31630,33460,33940,35950,36480,39000,38930,40310,41680,42490
E01000643,Brent 024D,E09000005,Brent,25150,25470,26630,28330,28920,30840,31510,33940,34120,35600,37090,38090
E01000644,Brent 022E,E09000005,Brent,30120,30380,31620,33470,33970,36000,36550,39100,39050,40470,41880,42730
E01033424,Brent 017F,E09000005,Brent,25450,26050,27520,29570,30480,32800,33820,36740,37250,39180,41130,42560
E01033455,Brent 031G,E09000005,Brent,26970,27100,28120,29690,30080,31830,32280,34510,34460,35700,36940,37700
E01033456,Brent 027F,E09000005,Brent,22720,22960,23970,25450,25930,27590,28130,30220,30300,31520,32720,33500
E01033457,Brent 017G,E09000005,Brent,32770,33010,34320,36280,36800,38980,39560,42310,42250,43780,45300,46210
E01033463,Brent 003G,E09000005,Brent,34630,34800,36100,38100,38570,40810,41370,44220,44140,45730,47310,48270
E01033464,Brent 010F,E09000005,Brent,28180,28270,29280,30860,31200,32960,33370,35620,35510,36730,37950,38660
E01033485,Brent 031H,E09000005,Brent,26280,26440,27470,29040,29460,31210,31690,33920,33900,35170,36420,37210
E01000645,Bromley 007A,E09000006,Bromley,49160,50030,52460,55870,56990,60640,61750,66240,66280,68780,71220,72700
E01000646,Bromley 016A,E09000006,Bromley,39200,39540,41130,43490,44100,46700,47370,50650,50560,52380,54170,55250
E01000647,Bromley 016B,E09000006,Bromley,38600,39020,40680,43110,43810,46480,47250,50610,50620,52530,54420,55600
E01000648,Bromley 016C,E09000006,Bromley,40990,41310,42950,45380,45990,48670,49330,52710,52580,54430,56250,57330
E01000649,Bromley 007B,E09000006,Bromley,45130,45870,48040,51100,52070,55340,56310,60340,60320,62550,64720,66010
E01000650,Bromley 022A,E09000006,Bromley,44880,45380,47300,50100,50870,53920,54720,58510,58400,60460,62480,63660
E01000651,Bromley 020A,E09000006,Bromley,39760,40200,41920,44430,45160,47910,48680,52130,52100,54020,55910,57060
E01000652,Bromley 022B,E09000006,Bromley,40680,41140,42900,45460,46180,48960,49710,53180,53100,55000,56870,57980
E01000653,Bromley 016D,E09000006,Bromley,44480,44790,46510,49100,49700,52530,53180,56740,56520,58420,60280,61330
E01000654,Bromley 039A,E09000006,Bromley,37670,37880,39280,41410,41880,44220,44740,47720,47520,49100,50670,51560
E01000655,Bromley 039B,E09000006,Bromley,37230,37480,38920,41090,41610,44000,44570,47590,47450,49090,50710,51660
E01000656,Bromley 039C,E09000006,Bromley,39260,39450,40890,43090,43540,45950,46460,49500,49250,50850,52410,53280
E01000657,Bromley 039D,E09000006,Bromley,35390,35710,37170,39340,39920,42310,42960,45970,45930,47620,49300,50320
E01000658,Bromley 042A,E09000006,Bromley,36870,37170,38660,40880,41460,43900,44530,47610,47510,49200,50860,51840
E01000659,Bromley 039E,E09000006,Bromley,38310,38530,39970,42160,42640,45040,45570,48610,48410,50020,51620,52520
E01000661,Bromley 026A,E09000006,Bromley,28610,28800,29930,31660,32140,34090,34670,37180,37230,38700,40180,41150
E01000662,Bromley 026B,E09000006,Bromley,31950,32190,33470,35400,35930,38090,38700,41440,41440,43000,44540,45510
E01000663,Bromley 026C,E09000006,Bromley,31700,31970,33270,35230,35790,37990,38630,41400,41440,43030,44620,45620
E01000664,Bromley 026D,E09000006,Bromley,33230,33360,34580,36460,36880,38970,39470,42140,42010,43460,44900,45740
E01000665,Bromley 033A,E09000006,Bromley,34720,35660,37730,40510,41640,44620,45740,49350,49650,51790,53890,55250
E01000666,Bromley 033B,E09000006,Bromley,40660,41650,43940,47050,48230,51530,52660,56640,56800,59050,61220,62550
E01000667,Bromley 033C,E09000006,Bromley,42390,43610,46220,49710,51180,54930,56400,60950,61430,64180,66880,68680
E01000668,Bromley 020B,E09000006,Bromley,35980,36360,37900,40160,40800,43280,43970,47080,47040,48780,50480,51520
E01000669,Bromley 020C,E09000006,Bromley,35950,36310,37820,40050,40660,43100,43760,46820,46760,48460,50130,51130
E01000670,Bromley 018A,E09000006,Bromley,41750,42310,44190,46880,47660,50560,51340,54910,54800,56730,58600,59680
E01000671,Bromley 020D,E09000006,Bromley,36270,36570,38030,40220,40780,43180,43790,46810,46700,48350,49980,50940
E01000672,Bromley 011A,E09000006,Bromley,39060,39510,41220,43700,44420,47140,47900,51290,51260,53160,55020,56140
E01000673,Bromley 011B,E09000006,Bromley,38600,39130,40920,43480,44290,47100,47960,51460,51540,53540,55520,56760
E01000674,Bromley 008A,E09000006,Bromley,36660,37070,38660,40980,41640,44170,44870,48020,47970,49710,51420,52440
E01000675,Bromley 018B,E09000006,Bromley,37040,37850,39860,42640,43700,46730,47830,51570,51870,54120,56340,57810
E01000676,Bromley 008B,E09000006,Bromley,34340,34790,36360,38630,39340,41810,42570,45660,45700,47460,49190,50270
E01000677,Bromley 018C,E09000006,Bromley,37260,37960,39870,42540,43480,46370,47340,50910,51070,53140,55180,56490
E01000678,Bromley 016E,E09000006,Bromley,39460,39810,41430,43830,44460,47090,47790,51110,51030,52880,54690,55790
E01000679,Bromley 020E,E09000006,Bromley,35630,36210,37950,40420,41280,44010,44930,48330,48510,50520,52510,53800
E01000680,Bromley 037A,E09000006,Bromley,41520,42000,43810,46450,47220,50120,50950,54590,54580,56630,58640,59870
E01000681,Bromley 035A,E09000006,Bromley,38460,39150,41090,43810,44760,47740,48740,52420,52610,54760,56890,58260
E01000682,Bromley 035B,E09000006,Bromley,37360,37980,39810,42400,43280,46100,47020,50530,50660,52690,54700,55970
E01000683,Bromley 035C,E09000006,Bromley,37700,38180,39860,42290,43010,45650,46400,49700,49680,51520,53340,54440
E01000684,Bromley 035D,E09000006,Bromley,40300,40970,42940,45720,46650,49680,50640,54380,54490,56630,58730,60040
E01000685,Bromley 037B,E09000006,Bromley,36180,36610,38220,40560,41270,43860,44640,47890,47960,49840,51700,52880
E01000686,Bromley 037C,E09000006,Bromley,38860,39270,40930,43370,44060,46740,47490,50850,50830,52720,54580,55710
E01000687,Bromley 037D,E09000006,Bromley,38470,38930,40640,43120,43880,46610,47430,50860,50910,52870,54810,56020
E01000688,Bromley 037E,E09000006,Bromley,41050,41670,43620,46410,47350,50430,51440,55290,55460,57730,59970,61420
E01000689,Bromley 002A,E09000006,Bromley,34100,34420,35860,37990,38590,40950,41620,44590,44600,46300,47970,49020
E01000690,Bromley 002B,E09000006,Bromley,39330,39660,41260,43640,44260,46870,47550,50840,50740,52540,54310,55360
E01000691,Bromley 002C,E09000006,Bromley,34930,35280,36770,38970,39600,42030,42740,45800,45820,47560,49290,50380
E01000692,Bromley 002D,E09000006,Bromley,38860,39170,40720,43040,43630,46180,46820,50040,49910,51670,53390,54410
E01000693,Bromley 010A,E09000006,Bromley,40280,40610,42230,44640,45260,47900,48570,51880,51730,53520,55270,56270
E01000694,Bromley 007C,E09000006,Bromley,46370,47080,49250,52320,53240,56520,57410,61420,61300,63440,65510,66670
E01000695,Bromley 007D,E09000006,Bromley,42200,43000,45150,48140,49170,52390,53440,57410,57540,59820,62060,63460
E01000696,Bromley 007E,E09000006,Bromley,45030,45940,48280,51530,52690,56190,57360,61660,61840,64330,66760,68300
E01000697,Bromley 007F,E09000006,Bromley,43130,43900,46040,49030,50030,53250,54250,58210,58280,60530,62730,64080
E01000698,Bromley 010B,E09000006,Bromley,43750,44010,45680,48200,48770,51510,52120,55560,55290,57080,58820,59750
E01000699,Bromley 015A,E09000006,Bromley,32060,32430,33840,35910,36560,38860,39580,42490,42580,44280,45960,47050
E01000700,Bromley 013A,E09000006,Bromley,34770,35390,37150,39640,40530,43260,44200,47580,47800,49800,51790,53090
E01000701,Bromley 015B,E09000006,Bromley,35810,36200,37750,40040,40720,43240,43990,47170,47210,49020,50820,51950
E01000702,Bromley 013B,E09000006,Bromley,35770,36460,38310,40910,41870,44730,45740,49270,49520,51620,53690,55060
E01000703,Bromley 013C,E09000006,Bromley,38160,38710,40500,43050,43870,46660,47510,50970,51030,53000,54930,56120
E01000704,Bromley 015C,E09000006,Bromley,34050,34460,35990,38220,38920,41390,42170,45270,45360,47160,48950,50090
E01000705,Bromley 015D,E09000006,Bromley,33320,33820,35410,37700,38490,41040,41910,45100,45300,47210,49110,50360
E01000706,Bromley 013D,E09000006,Bromley,32660,33260,34920,37270,38130,40710,41630,44840,45070,46990,48890,50150
E01000707,Bromley 041A,E09000006,Bromley,39940,40700,42750,45630,46670,49810,50910,54800,55040,57330,59600,61080
E01000708,Bromley 041B,E09000006,Bromley,36960,37490,39220,41700,42500,45210,46050,49420,49500,51430,53340,54540
E01000709,Bromley 006A,E09000006,Bromley,35900,36220,37700,39890,40470,42880,43520,46550,46470,48150,49800,50780
E01000710,Bromley 006B,E09000006,Bromley,38260,38670,40320,42730,43420,46050,46780,50080,50030,51850,53640,54720
E01000711,Bromley 006C,E09000006,Bromley,38930,39220,40740,43030,43570,46060,46640,49770,49570,51230,52850,53760
E01000712,Bromley 012A,E09000006,Bromley,38700,39370,41290,43980,44880,47780,48700,52280,52360,54400,56390,57620
E01000713,Bromley 012B,E09000006,Bromley,39020,39610,41450,44070,44890,47710,48540,52020,52020,53950,55840,56980
E01000714,Bromley 006D,E09000006,Bromley,37400,37770,39350,41670,42310,44850,45540,48720,48640,50390,52110,53130
E01000715,Bromley 012C,E09000006,Bromley,38180,38820,40680,43310,44180,47020,47900,51400,51450,53420,55350,56520
