LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_median_2001,HHI_median_2002,HHI_median_2003,HHI_median_2004,HHI_median_2005,HHI_median_2006,HHI_median_2007,HHI_median_2008,HHI_median_2009,HHI_median_2010,HHI_median_2011,HHI_median_2012
E01001542,Enfield 008E,E09000010,Enfield,27310,27600,28300,29890,29870,31530,32400,33360,34770,35670,37370,38040
E01001543,Enfield 009C,E09000010,Enfield,30750,31130,31960,33780,33780,35680,36670,37760,39340,40340,42250,42980
E01001544,Enfield 009D,E09000010,Enfield,31000,31370,32200,34020,34010,35920,36900,37980,39560,40550,42440,43160
E01001545,Enfield 002B,E09000010,Enfield,21030,21090,21480,22550,22420,23570,24120,24750,25710,26310,27490,27920
E01001546,Enfield 001C,E09000010,Enfield,23540,23760,24330,25660,25620,27030,27740,28530,29700,30430,31840,32360
E01001547,Enfield 002C,E09000010,Enfield,24080,24080,24450,25570,25330,26520,27030,27620,28570,29100,30270,30600
E01001548,Enfield 002D,E09000010,Enfield,23120,23220,23680,24880,24760,26040,26650,27350,28410,29060,30350,30800
E01001549,Enfield 006D,E09000010,Enfield,21470,21360,21590,22500,22200,23170,23540,23990,24760,25170,26150,26400
E01001550,Enfield 006E,E09000010,Enfield,23710,23710,24070,25190,24960,26140,26650,27250,28200,28740,29910,30260
E01001551,Enfield 002E,E09000010,Enfield,22190,22260,22680,23820,23680,24890,25470,26130,27140,27760,28990,29430
E01001552,Enfield 001D,E09000010,Enfield,24550,24790,25400,26800,26770,28240,28990,29820,31050,31810,33280,33830
E01001553,Enfield 037B,E09000010,Enfield,20940,21010,21410,22490,22380,23540,24110,24760,25740,26350,27550,28000
E01001554,Enfield 037C,E09000010,Enfield,19050,19150,19560,20590,20540,21660,22250,22900,23880,24510,25700,26190
E01001555,Enfield 033C,E09000010,Enfield,22020,22220,22760,24010,23980,25290,25970,26710,27810,28500,29820,30320
E01001556,Enfield 035E,E09000010,Enfield,25130,25300,25850,27200,27090,28510,29200,29970,31130,31830,33240,33730
E01001557,Enfield 033D,E09000010,Enfield,21220,21610,22350,23800,23980,25520,26420,27390,28730,29650,31240,31960
E01001558,Enfield 033E,E09000010,Enfield,20130,20410,21000,22270,22350,23690,24440,25260,26410,27190,28570,29170
E01001559,Enfield 033F,E09000010,Enfield,21530,21780,22370,23650,23680,25040,25760,26560,27710,28450,29830,30380
E01001560,Enfield 035F,E09000010,Enfield,23400,23590,24130,25430,25370,26750,27450,28220,29380,30100,31500,32020
E01001562,Enfield 037D,E09000010,Enfield,20730,20760,21120,22150,22000,23100,23620,24210,25130,25690,26830,27240
E01001563,Enfield 029C,E09000010,Enfield,31030,31280,31990,33690,33570,35340,36210,37170,38630,39520,41300,41930
E01001564,Enfield 022B,E09000010,Enfield,33740,34320,35380,37540,37670,39900,41120,42440,44320,45550,47800,48730
E01001565,Enfield 029D,E09000010,Enfield,31190,31450,32170,33880,33770,35560,36450,37430,38910,39820,41620,42280
E01001566,Enfield 029E,E09000010,Enfield,32950,33330,34190,36110,36080,38090,39120,40250,41920,42960,44970,45730
E01001567,Enfield 022C,E09000010,Enfield,35040,35590,36650,38830,38910,41160,42350,43650,45510,46700,48920,49780
E01001568,Enfield 022D,E09000010,Enfield,37060,37520,38500,40660,40610,42820,43920,45130,46920,48000,50130,50870
E01001569,Enfield 022E,E09000010,Enfield,32110,32700,33750,35840,35990,38170,39370,40680,42530,43750,45950,46890
E01001570,Enfield 026E,E09000010,Enfield,28910,29240,30010,31710,31720,33530,34480,35540,37080,38080,39940,40710
E01032574,Enfield 037E,E09000010,Enfield,22060,22200,22690,23900,23830,25120,25780,26520,27610,28300,29630,30150
E01033146,Enfield 025F,E09000010,Enfield,23500,23350,23550,24470,24080,25040,25350,25730,26450,26770,27680,27820
E01033148,Enfield 003F,E09000010,Enfield,26230,26210,26570,27730,27390,28580,29010,29510,30390,30800,31870,32050
E01033150,Enfield 003G,E09000010,Enfield,29080,28820,28980,30000,29390,30410,30610,30880,31540,31700,32550,32490
E01033151,Enfield 025G,E09000010,Enfield,20380,20420,20780,21800,21650,22730,23240,23810,24710,25240,26340,26720
E01001571,Greenwich 008A,E09000011,Greenwich,23590,24100,24990,26660,26910,28670,29710,30830,32350,33410,35220,36050
E01001572,Greenwich 008B,E09000011,Greenwich,23660,24200,25120,26820,27100,28900,29970,31120,32690,33780,35630,36490
E01001573,Greenwich 008C,E09000011,Greenwich,24160,24610,25440,27060,27240,28940,29910,30960,32420,33400,35120,35880
E01001574,Greenwich 008D,E09000011,Greenwich,20360,20760,21480,22890,23070,24570,25450,26400,27720,28630,30190,30930
E01001575,Greenwich 003A,E09000011,Greenwich,20660,20940,21560,22880,22980,24390,25190,26080,27320,28170,29660,30340
E01001576,Greenwich 003B,E09000011,Greenwich,20200,20560,21240,22620,22790,24270,25150,26110,27420,28350,29920,30670
E01001577,Greenwich 003C,E09000011,Greenwich,20670,20940,21550,22840,22930,24320,25100,25970,27180,28010,29470,30130
E01001578,Greenwich 003D,E09000011,Greenwich,21660,22050,22780,24260,24440,26020,26940,27950,29340,30300,31950,32720
E01001579,Greenwich 003E,E09000011,Greenwich,21000,21390,22120,23570,23770,25320,26250,27260,28640,29610,31260,32050
E01001580,Greenwich 021A,E09000011,Greenwich,33190,34040,35380,37820,38220,40750,42250,43850,46040,47540,50110,51300
E01001581,Greenwich 016A,E09000011,Greenwich,30320,30820,31770,33710,33830,35870,36990,38220,39960,41120,43200,44100
E01001582,Greenwich 021B,E09000011,Greenwich,30070,30760,31900,34020,34310,36520,37790,39170,41060,42340,44580,45580
E01001583,Greenwich 021C,E09000011,Greenwich,32870,33670,34960,37320,37670,40120,41550,43080,45180,46610,49080,50190
E01001584,Greenwich 021D,E09000011,Greenwich,34800,35620,36960,39430,39770,42330,43800,45390,47570,49040,51610,52740
E01001585,Greenwich 016B,E09000011,Greenwich,34070,34550,35530,37610,37650,39810,40940,42180,43980,45120,47270,48110
E01001586,Greenwich 016C,E09000011,Greenwich,28660,29280,30330,32340,32610,34730,35980,37330,39190,40480,42690,43720
E01001587,Greenwich 016D,E09000011,Greenwich,33840,34280,35210,37220,37220,39310,40390,41570,43300,44390,46470,47270
E01001588,Greenwich 012A,E09000011,Greenwich,23450,23810,24550,26070,26200,27830,28760,29790,31220,32220,33940,34740
E01001589,Greenwich 012B,E09000011,Greenwich,23860,24230,24980,26520,26650,28300,29240,30270,31720,32710,34440,35240
E01001590,Greenwich 014A,E09000011,Greenwich,26860,27540,28630,30610,30950,33020,34260,35580,37370,38620,40730,41730
E01001591,Greenwich 012C,E09000011,Greenwich,23220,23470,24080,25460,25490,26960,27750,28630,29910,30750,32290,32950
E01001592,Greenwich 014B,E09000011,Greenwich,27690,28480,29680,31820,32240,34480,35840,37290,39240,40610,42900,44000
