,LSOA21NM,OBJECTID,LSOA21CD,SHAPE_Leng,SHAPE_Area,geometry
21,Barking and Dagenham 008E,22,E01000025,2475.4112337356937,153352.04029237025,"POLYGON ((546899 185738, 547116 185709, 547079 185674, 547009 185660, 547059 185613, 547048 185568, 547058 185553, 547108 185546, 547113 185571, 547193 185460, 547267 185450, 547230 185300, 546644 185450, 546651 185628, 546673 185623, 546703 185575, 546815 185550, 546839 185596, 546831 185620, 546774 185621, 546705 185649, 546691 185670, 546700 185709, 546838 185682, 546899 185738))"
22,Barking and Dagenham 001A,23,E01000027,6752.45300176587,1474526.7206695199,"POLYGON ((548881 190820, 548881 190803, 548996 190881, 549089 190714, 549072 190239, 549116 190075, 549121 189772, 548464 189673, 548482 189557, 548357 189542, 548317 189498, 548251 189632, 548194 189611, 548215 189447, 548187 189430, 548195 189404, 548209 189408, 548210 189373, 548385 189390, 548406 189379, 548417 189347, 548416 189316, 548381 189278, 548382 189216, 548343 189214, 548341 189266, 548291 189271, 548291 189247, 548247 189236, 548163 189277, 548155 189340, 548127 189363, 548152 189388, 548137 189463, 548115 189469, 548102 189497, 548059 189483, 548023 189599, 547996 189591, 547921 189705, 547780 189681, 547777 189669, 547719 189697, 547754 189711, 547752 189729, 547618 190060, 548152 190497, 548767 191139, 548878 191097, 548846 190847, 548882 190845, 548881 190820))"
23,Barking and Dagenham 001B,24,E01000028,2616.0390838984044,143890.8218095535,"POLYGON ((547719 189697, 547779 189670, 547817 189529, 547857 189534, 547933 189322, 547864 189316, 547869 189359, 547835 189487, 547748 189470, 547717 189506, 547690 189498, 547677 189540, 547646 189528, 547678 189404, 547713 189390, 547696 189342, 547656 189301, 547662 189269, 547628 189259, 547630 189220, 547606 189213, 547538 189125, 547515 189128, 547537 189301, 547510 189374, 547482 189374, 547488 189431, 547412 189681, 547737 189783, 547734 189749, 547754 189711, 547719 189697))"
24,Barking and Dagenham 001C,25,E01000029,4058.923194604684,256877.14185160186,"POLYGON ((547715 189414, 547759 189427, 547815 189267, 547912 189271, 547912 189234, 547950 189234, 547975 189109, 548062 189107, 548062 189034, 548372 189021, 548388 188996, 548452 189025, 548444 188954, 548400 188954, 548377 188919, 548344 188916, 548358 188845, 548397 188849, 548394 188777, 548114 188728, 548079 188930, 548045 188924, 548058 188876, 548044 188793, 548058 188752, 547998 188745, 547996 188758, 547960 188743, 547947 188712, 547804 188627, 547735 188841, 547744 188877, 547927 188945, 547884 189048, 547857 189094, 547515 189120, 547538 189125, 547606 189213, 547630 189220, 547628 189259, 547663 189270, 547656 189301, 547696 189342, 547713 189390, 547678 189404, 547676 189438, 547705 189447, 547715 189414))"
25,Barking and Dagenham 001D,26,E01000030,4895.575241971672,286265.9800585718,"POLYGON ((547921 189705, 547996 189591, 548023 189599, 548059 189483, 548102 189497, 548115 189469, 548137 189463, 548152 189388, 548127 189363, 548155 189340, 548163 189277, 548247 189236, 548291 189247, 548291 189271, 548341 189266, 548343 189214, 548382 189216, 548381 189278, 548416 189316, 548417 189347, 548406 189379, 548385 189390, 548210 189373, 548209 189408, 548195 189404, 548187 189430, 548215 189447, 548194 189611, 548251 189632, 548317 189498, 548357 189542, 548482 189557, 548466 189086, 548452 189025, 548388 188996, 548372 189021, 548062 189034, 548062 189107, 547975 189109, 547950 189234, 547912 189234, 547912 189271, 547815 189267, 547759 189427, 547715 189414, 547705 189447, 547676 189438, 547646 189528, 547677 189540, 547690 189498, 547717 189506, 547748 189470, 547835 189487, 547869 189359, 547864 189316, 547933 189322, 547857 189534, 547817 189529, 547779 189663, 547780 189681, 547921 189705))"
26,Barking and Dagenham 002A,27,E01000031,5399.8734488319715,843421.2207603569,"POLYGON ((548959 189072, 548890 189066, 548874 188496, 548668 188470, 548665 188486, 548625 188484, 548626 188464, 548528 188445, 548519 188384, 548490 188380, 548504 188329, 548474 188319, 548538 188105, 548369 188078, 548344 188168, 548309 188194, 548279 188193, 548274 188263, 548323 188307, 548265 188288, 548232 188300, 548199 188267, 548179 188281, 548103 188274, 548092 188322, 548176 188372, 548199 188419, 548182 188540, 548220 188573, 548194 188651, 548214 188676, 548206 188705, 548241 188713, 548235 188749, 548394 188777, 548397 188849, 548358 188845, 548344 188916, 548377 188919, 548400 188954, 548444 188954, 548466 189086, 548483 189500, 548464 189673, 549121 189772, 549113 189366, 549102 189325, 549038 189244, 548959 189072))"
27,Barking and Dagenham 002B,28,E01000032,3773.9290607331277,375434.9560819488,"POLYGON ((548091 188860, 548114 188728, 548234 188750, 548241 188713, 548206 188705, 548214 188676, 548194 188651, 548220 188573, 548182 188540, 548202 188466, 548198 188418, 548176 188372, 548092 188322, 548103 188274, 548179 188281, 548199 188267, 548232 188300, 548265 188288, 548323 188307, 548274 188263, 548279 188193, 548309 188194, 548344 188168, 548369 188078, 548214 188062, 547715 187915, 547700 188008, 547818 188038, 547768 188215, 547702 188170, 547665 188260, 547642 188529, 547947 188712, 547960 188743, 547996 188758, 547998 188745, 548058 188752, 548044 188793, 548058 188876, 548045 188924, 548079 188930, 548091 188860))"
28,Barking and Dagenham 006A,29,E01000033,2507.793190067465,145321.7253374521,"POLYGON ((550383 186378, 550353 186375, 550350 186270, 550328 186278, 550324 186374, 550295 186375, 550299 186255, 550293 186270, 550214 186255, 550171 186263, 550141 186227, 550141 186102, 550098 186131, 550065 186096, 550100 186065, 550101 186052, 550076 186039, 550106 186039, 550121 186020, 550107 185985, 550066 185956, 549955 185936, 549893 185973, 549886 186029, 549830 186165, 549817 186402, 549910 186403, 549937 186310, 550059 186320, 550059 186401, 550381 186430, 550383 186378))"
29,Barking and Dagenham 003A,30,E01000034,6006.847622955272,513659.1081417047,"POLYGON ((550784 186822, 550895 186888, 550897 186794, 550911 186729, 550970 186742, 550967 186767, 550998 186774, 551008 186814, 551049 186851, 551073 186853, 551073 186921, 551162 186922, 551175 186901, 551178 186885, 551157 186877, 551112 186810, 551029 186749, 551031 186731, 551080 186682, 551146 186704, 551218 186702, 551214 186681, 551235 186653, 551007 186593, 550966 186637, 550924 186641, 550965 186475, 550960 186442, 551023 186417, 551057 186269, 550925 186227, 550803 186154, 550724 186266, 550682 186429, 550509 186412, 550524 186035, 550396 186021, 550406 185898, 550273 185953, 550244 185994, 550135 185957, 550107 185985, 550121 186020, 550110 186036, 550076 186039, 550101 186052, 550100 186065, 550065 186096, 550098 186131, 550141 186102, 550140 186225, 550167 186262, 550214 186255, 550293 186270, 550299 186255, 550295 186375, 550324 186374, 550328 186278, 550350 186270, 550353 186375, 550384 186378, 550381 186430, 550405 186431, 550428 186519, 550435 186689, 550413 186969, 550837 186926, 550784 186822))"
30,Barking and Dagenham 010A,31,E01000035,3609.9051338432164,397161.41665844916,"POLYGON ((550267 185958, 550406 185898, 550532 185756, 550239 185744, 550201 185625, 550247 185658, 550426 185386, 550305 185251, 550339 185188, 550275 185211, 550252 185197, 550269 185166, 550237 185155, 550209 185213, 550212 185243, 550159 185264, 550150 185295, 550170 185336, 550140 185325, 550087 185378, 549937 185351, 549720 185535, 549619 185517, 549604 185773, 549913 185841, 549893 185974, 549945 185936, 550066 185956, 550107 185985, 550135 185957, 550244 185994, 550267 185958))"
31,Barking and Dagenham 010B,32,E01000036,4393.928508060967,418688.2967242051,"POLYGON ((549844 185417, 549940 185350, 550087 185378, 550140 185325, 550170 185336, 550150 185295, 550159 185264, 550212 185243, 550209 185213, 550237 185155, 550269 185166, 550252 185197, 550275 185211, 550339 185188, 550305 185251, 550485 185441, 550851 185458, 551198 185503, 551205 185302, 549987 184927, 549985 184990, 549904 185055, 549795 185247, 549766 185417, 549680 185412, 549674 185473, 549620 185478, 549619 185517, 549720 185535, 549844 185417))"
